day,dayNo,case
Apr09,1,1
Apr10,2,1
Apr11,3,2
Apr12,4,2
Apr13,5,2
Apr14,6,2
Apr15,7,2
Apr16,8,2
Apr17,9,2
Apr18,10,2
Apr19,11,2
Apr20,12,2
Apr21,13,2
Apr22,14,2
Apr23,15,2
Apr24,16,2
Apr25,17,2
Apr26,18,2
Apr27,19,2
Apr28,20,2
Apr29,21,2
Apr30,22,2
May01,23,2
May02,24,2
May03,25,2
May04,26,2
May05,27,2
May06,28,3
May07,29,3
May08,30,3
May09,31,3
May10,32,3
May11,33,3
May12,34,3
May13,35,3
May14,36,3
May15,37,4
May16,38,4
May17,39,4
May18,40,7
May19,41,7
May20,42,9
May21,43,10
May22,44,10
May23,45,10
May24,46,10
May25,47,14
May26,48,14
May27,49,18
May28,50,20
May29,51,20
May30,52,22
May31,53,24
Jun01,54,24
Jun02,55,25
Jun03,56,26
Jun04,57,26
Jun05,58,26
Jun06,59,26
Jun07,60,28
Jun08,61,31
Jun09,62,34
Jun10,63,34
Jun11,64,37
Jun12,65,38
Jun13,66,41
Jun14,67,43
Jun15,68,43
Jun16,69,43
Jun17,70,43
Jun18,71,43
Jun19,72,45
Jun20,73,45
Jun21,74,45
Jun22,75,48
Jun23,76,49
Jun24,77,52
Jun25,78,52
Jun26,79,52
Jun27,80,52
Jun28,81,52
Jun29,82,53
Jun30,83,54
Jul01,84,55
Jul02,85,55
Jul03,86,55
Jul04,87,55
