day,dayNo,case
Mar01,1,1
Mar02,2,1
Mar03,3,1
Mar04,4,1
Mar05,5,1
Mar06,6,2
Mar07,7,2
Mar08,8,5
Mar09,9,5
Mar10,10,5
Mar11,11,5
Mar12,12,5
Mar13,13,5
Mar14,14,11
Mar15,15,11
Mar16,16,21
Mar17,17,21
Mar18,18,34
Mar19,19,34
Mar20,20,72
Mar21,21,112
Mar22,22,202
Mar23,23,245
Mar24,24,312
Mar25,25,392
Mar26,26,488
Mar27,27,581
Mar28,28,719
Mar29,29,859
Mar30,30,901
Mar31,31,1109
Apr01,32,1284
Apr02,33,1380
Apr03,34,1488
Apr04,35,1578
Apr05,36,1745
Apr06,37,1828
Apr07,38,1956
Apr08,39,2111
Apr09,40,2349
Apr10,41,2620
Apr11,42,2759
Apr12,43,2967
Apr13,44,3167
Apr14,45,3286
Apr15,46,3614
Apr16,47,3755
Apr17,48,4126
Apr18,49,4335
Apr19,50,4680
Apr20,51,4964
Apr21,52,5044
Apr22,53,5300
Apr23,54,5543
Apr24,55,5749
Apr25,56,5926
Apr26,57,6135
Apr27,58,6293
Apr28,59,6416
Apr29,60,6652
Apr30,61,6972
May01,62,7288
