day,dayNo,case
Mar16,1,1
Mar17,2,1
Mar18,3,2
Mar19,4,2
Mar20,5,2
Mar21,6,3
Mar22,7,3
Mar23,8,3
Mar24,9,6
Mar25,10,10
Mar26,11,10
Mar27,12,20
Mar28,13,28
Mar29,14,39
Mar30,15,42
Mar31,16,51
Apr01,17,57
Apr02,18,60
Apr03,19,68
Apr04,20,77
Apr05,21,82
Apr06,22,86
Apr07,23,98
Apr08,24,108
Apr09,25,118
Apr10,26,126
Apr11,27,135
Apr12,28,173
Apr13,29,177
Apr14,30,183
Apr15,31,189
Apr16,32,196
Apr17,33,200
Apr18,34,217
Apr19,35,226
Apr20,36,235
Apr21,37,245
Apr22,38,260
Apr23,39,265
Apr24,40,267
Apr25,41,273
Apr26,42,278
Apr27,43,282
Apr28,44,286
Apr29,45,293
Apr30,46,301
May01,47,313
