day,dayNo,case
Feb29,1,1
Mar01,2,6
Mar02,3,6
Mar03,4,7
Mar04,5,10
Mar05,6,13
Mar06,7,13
Mar07,8,14
Mar08,9,14
Mar09,10,15
Mar10,11,17
Mar11,12,17
Mar12,13,17
Mar13,14,23
Mar14,15,28
Mar15,16,37
Mar16,17,58
Mar17,18,111
Mar18,19,168
Mar19,20,260
Mar20,21,426
Mar21,22,532
Mar22,23,789
Mar23,24,981
Mar24,25,1082
Mar25,26,1211
Mar26,27,1403
Mar27,28,1627
Mar28,29,1823
Mar29,30,1924
Mar30,31,1966
Mar31,32,2302
Apr01,33,2758
Apr02,34,3163
Apr03,35,3368
Apr04,36,3465
Apr05,37,3646
Apr06,38,3747
Apr07,39,3995
Apr08,40,4450
Apr09,41,4965
Apr10,42,7161
Apr11,43,7257
Apr12,44,7466
Apr13,45,7529
Apr14,46,7603
Apr15,47,7858
Apr16,48,8225
Apr17,49,8450
Apr18,50,9022
Apr19,51,9468
Apr20,52,10128
Apr21,53,10398
Apr22,54,10850
Apr23,55,11183
Apr24,56,18778
Apr25,57,18778
Apr26,58,18778
Apr27,59,19299
Apr28,60,20317
Apr29,61,20734
Apr30,62,20993
May01,63,22395
May02,64,23523
May03,65,25597
May04,66,27940
May05,67,27940
May06,68,27940
May07,69,28818
May08,70,28818
May09,71,29071
May10,72,29509
May11,73,29509
May12,74,30419
May13,75,30486
May14,76,30502
May15,77,31467
May16,78,32763
May17,79,33182
May18,80,33582
May19,81,34151
May20,82,34854
May21,83,35306
May22,84,35828
May23,85,36258
May24,86,36756
May25,87,37355
May26,88,37355
May27,89,38103
May28,90,38471
May29,91,38571
May30,92,38571
May31,93,39098
Jun01,94,39994
Jun02,95,40414
Jun03,96,40966
Jun04,97,40966
Jun05,98,41575
Jun06,99,42728
Jun07,100,43120
Jun08,101,43378
Jun09,102,43917
Jun10,103,44440
Jun11,104,44440
Jun12,105,45778
Jun13,106,46356
Jun14,107,46751
Jun15,108,47322
Jun16,109,47943
Jun17,110,48490
Jun18,111,49097
Jun19,112,49731
Jun20,113,49731
Jun21,114,50640
Jun22,115,50640
Jun23,116,51643
Jun24,117,51643
Jun25,118,53156
Jun26,119,53856
Jun27,120,54574
Jun28,121,55255
Jun29,122,55665
Jun30,123,56432
Jul01,124,58257
Jul02,125,59468
Jul03,126,60657
Jul04,127,61535
