day,dayNo,case
Mar13,1,1
Mar14,2,2
Mar15,3,2
Mar16,4,2
Mar17,5,2
Mar18,6,3
Mar19,7,3
Mar20,8,7
Mar21,9,7
Mar22,10,14
Mar23,11,18
Mar24,12,27
Mar25,13,29
Mar26,14,34
Mar27,15,41
Mar28,16,48
Mar29,17,58
Mar30,18,62
Mar31,19,79
Apr01,20,98
Apr02,21,120
Apr03,22,145
Apr04,23,172
Apr05,24,180
Apr06,25,191
Apr07,26,220
Apr08,27,242
Apr09,28,272
Apr10,29,297
Apr11,30,315
Apr12,31,333
Apr13,32,355
Apr14,33,369
Apr15,34,388
Apr16,35,403
Apr17,36,421
Apr18,37,456
Apr19,38,474
Apr20,39,507
Apr21,40,520
Apr22,41,537
Apr23,42,560
Apr24,43,576
Apr25,44,576
Apr26,45,576
Apr27,46,663
Apr28,47,871
Apr29,48,883
Apr30,49,900
May01,50,1063
