day,dayNo,case
Feb15,1,1
Feb16,2,1
Feb17,3,1
Feb18,4,1
Feb19,5,1
Feb20,6,1
Feb21,7,1
Feb22,8,1
Feb23,9,1
Feb24,10,1
Feb25,11,1
Feb26,12,1
Feb27,13,1
Feb28,14,1
Feb29,15,1
Mar01,16,2
Mar02,17,2
Mar03,18,2
Mar04,19,2
Mar05,20,3
Mar06,21,15
Mar07,22,48
Mar08,23,55
Mar09,24,59
Mar10,25,59
Mar11,26,67
Mar12,27,80
Mar13,28,93
Mar14,29,110
Mar15,30,126
Mar16,31,166
Mar17,32,196
Mar18,33,210
Mar19,34,256
Mar20,35,285
Mar21,36,294
Mar22,37,327
Mar23,38,366
Mar24,39,402
Mar25,40,456
Mar26,41,495
Mar27,42,536
Mar28,43,576
Mar29,44,609
Mar30,45,656
Mar31,46,710
Apr01,47,779
Apr02,48,865
Apr03,49,985
Apr04,50,1070
Apr05,51,1173
Apr06,52,1322
Apr07,53,1450
Apr08,54,1560
Apr09,55,1699
Apr10,56,1794
Apr11,57,1939
Apr12,58,2065
Apr13,59,2190
Apr14,60,2350
Apr15,61,2505
Apr16,62,2673
Apr17,63,2844
Apr18,64,3032
Apr19,65,3144
Apr20,66,3333
Apr21,67,3490
Apr22,68,3659
Apr23,69,3891
Apr24,70,4092
Apr25,71,4319
Apr26,72,4534
Apr27,73,4782
Apr28,74,5042
Apr29,75,5268
Apr30,76,5537
May01,77,5895
May02,78,6193
May03,79,6465
May04,80,6813
May05,81,7201
May06,82,7588
May07,83,7981
May08,84,8476
May09,85,8964
May10,86,9400
May11,87,9746
May12,88,10093
May13,89,10431
May14,90,10829
May15,91,11228
May16,92,11719
May17,93,12229
May18,94,12764
May19,95,13484
May20,96,14229
May21,97,15003
May22,98,15786
May23,99,16513
May24,100,17265
May25,101,17967
May26,102,18756
May27,103,19666
May28,104,20793
May29,105,22082
May30,106,23449
May31,107,24985
Jun01,108,26384
Jun02,109,27536
Jun03,110,28615
Jun04,111,29767
Jun05,112,31115
Jun06,113,32612
Jun07,114,34079
Jun08,115,35444
Jun09,116,36829
Jun10,117,38284
Jun11,118,39726
Jun12,119,41303
Jun13,120,42980
Jun14,121,44598
Jun15,122,46289
Jun16,123,47856
Jun17,124,49219
Jun18,125,50437
Jun19,126,52211
Jun20,127,53758
Jun21,128,55233
Jun22,129,56809
Jun23,130,58141
Jun24,131,59561
Jun25,132,61130
Jun26,133,62755
Jun27,134,63923
Jun28,135,65188
Jun29,136,66754
Jun30,137,68311
Jul01,138,69814
Jul02,139,71299
Jul03,140,72711
Jul04,141,74035
