day,dayNo,case
Mar08,1,1
Mar09,2,1
Mar10,3,1
Mar11,4,1
Mar12,5,2
Mar13,6,2
Mar14,7,2
Mar15,8,2
Mar16,9,4
Mar17,10,6
Mar18,11,6
Mar19,12,7
Mar20,13,8
Mar21,14,10
Mar22,15,14
Mar23,16,19
Mar24,17,20
Mar25,18,21
Mar26,19,24
Mar27,20,30
Mar28,21,36
Mar29,22,40
Mar30,23,41
Mar31,24,46
Apr01,25,52
Apr02,26,58
Apr03,27,66
Apr04,28,71
Apr05,29,78
Apr06,30,85
Apr07,31,94
Apr08,32,103
Apr09,33,118
Apr10,34,135
Apr11,35,146
Apr12,36,159
Apr13,37,164
Apr14,38,178
Apr15,39,183
Apr16,40,196
Apr17,41,205
Apr18,42,224
Apr19,43,239
Apr20,44,250
Apr21,45,264
Apr22,46,276
Apr23,47,287
Apr24,48,294
Apr25,49,307
Apr26,50,317
Apr27,51,337
Apr28,52,359
Apr29,53,380
Apr30,54,392
May01,55,406
May02,56,415
May03,57,429
May04,58,436
May05,59,452
May06,60,469
May07,61,482
May08,62,503
May09,63,514
May10,64,525
May11,65,533
May12,66,544
May13,67,556
May14,68,571
May15,69,592
May16,70,612
May17,71,630
May18,72,645
May19,73,659
May20,74,680
May21,75,696
May22,76,707
May23,77,735
May24,78,764
May25,79,783
May26,80,797
May27,81,816
May28,82,845
May29,83,879
May30,84,913
May31,85,959
Jun01,86,1005
Jun02,87,1052
Jun03,88,1088
Jun04,89,1126
Jun05,90,1166
Jun06,91,1198
Jun07,92,1237
Jun08,93,1271
Jun09,94,1306
Jun10,95,1342
Jun11,96,1377
Jun12,97,1422
Jun13,98,1484
Jun14,99,1575
Jun15,100,1672
Jun16,101,1766
Jun17,102,1850
Jun18,103,1938
Jun19,104,2017
Jun20,105,2106
Jun21,106,2193
Jun22,107,2278
Jun23,108,2365
Jun24,109,2450
Jun25,110,2533
Jun26,111,2620
Jun27,112,2708
Jun28,113,2789
Jun29,114,2872
Jun30,115,2953
Jul01,116,3034
Jul02,117,3120
Jul03,118,3201
Jul04,119,3280
