day,dayNo,case
Mar19,1,1
Mar20,2,1
Mar21,3,3
Mar22,4,3
Mar23,5,3
Mar24,6,5
Mar25,7,9
Mar26,8,13
Mar27,9,13
Mar28,10,19
Mar29,11,24
Mar30,12,30
Mar31,13,32
Apr01,14,33
Apr02,15,41
Apr03,16,46
Apr04,17,56
Apr05,18,62
Apr06,19,69
Apr07,20,78
Apr08,21,93
Apr09,22,103
Apr10,23,117
Apr11,24,118
Apr12,25,125
Apr13,26,137
Apr14,27,149
Apr15,28,159
Apr16,29,164
Apr17,30,177
Apr18,31,190
Apr19,32,201
Apr20,33,218
Apr21,34,225
Apr22,35,237
Apr23,36,250
Apr24,37,261
Apr25,38,274
Apr26,39,298
Apr27,40,323
Apr28,41,345
Apr29,42,377
Apr30,43,395
May01,44,424
May02,45,446
May03,46,490
May04,47,555
May05,48,587
May06,49,633
May07,50,695
May08,51,742
May09,52,784
May10,53,889
May11,54,958
May12,55,998
May13,56,1037
May14,57,1112
May15,58,1210
May16,59,1265
May17,60,1338
May18,61,1413
May19,62,1498
May20,63,1571
May21,64,1640
May22,65,1725
May23,66,1819
May24,67,1915
May25,68,1983
May26,69,2042
May27,70,2109
May28,71,2194
May29,72,2278
May30,73,2395
May31,74,2517
Jun01,75,2582
Jun02,76,2653
Jun03,77,2705
Jun04,78,2781
Jun05,79,2849
Jun06,80,2934
Jun07,81,3015
Jun08,82,3104
Jun09,83,3191
Jun10,84,3274
Jun11,85,3373
Jun12,86,3481
Jun13,87,3603
Jun14,88,3720
Jun15,89,3826
Jun16,90,3941
Jun17,91,4066
Jun18,92,4200
Jun19,93,4329
Jun20,94,4475
Jun21,95,4626
Jun22,96,4808
Jun23,97,4973
Jun24,98,5150
Jun25,99,5336
Jun26,100,5517
Jun27,101,5727
Jun28,102,5934
Jun29,103,6173
Jun30,104,6438
Jul01,105,6736
Jul02,106,7000
Jul03,107,7267
Jul04,108,7507
