day,dayNo,case
Mar31,1,1
Apr01,2,2
Apr02,3,2
Apr03,4,3
Apr04,5,3
Apr05,6,3
Apr06,7,4
Apr07,8,4
Apr08,9,5
Apr09,10,6
Apr10,11,6
Apr11,12,6
Apr12,13,6
Apr13,14,6
Apr14,15,6
Apr15,16,6
Apr16,17,6
Apr17,18,7
Apr18,19,7
Apr19,20,7
Apr20,21,7
Apr21,22,7
Apr22,23,7
Apr23,24,8
Apr24,25,8
Apr25,26,8
Apr26,27,8
Apr27,28,8
Apr28,29,8
Apr29,30,9
Apr30,31,10
May01,32,10
May02,33,11
May03,34,11
May04,35,13
May05,36,13
May06,37,15
May07,38,15
May08,39,16
May09,40,17
May10,41,17
May11,42,18
May12,43,20
May13,44,20
May14,45,23
May15,46,23
May16,47,26
May17,48,27
May18,49,30
May19,50,30
May20,51,31
May21,52,33
May22,53,33
May23,54,33
May24,55,35
May25,56,35
May26,57,36
May27,58,37
May28,59,39
May29,60,42
May30,61,44
May31,62,46
Jun01,63,46
Jun02,64,46
Jun03,65,49
Jun04,66,51
Jun05,67,53
Jun06,68,53
Jun07,69,53
Jun08,70,55
Jun09,71,58
Jun10,72,64
Jun11,73,64
Jun12,74,68
Jun13,75,72
Jun14,76,72
Jun15,77,74
Jun16,78,76
Jun17,79,79
Jun18,80,82
Jun19,81,86
Jun20,82,93
Jun21,83,98
Jun22,84,107
Jun23,85,113
Jun24,86,119
Jun25,87,126
Jun26,88,133
Jun27,89,143
Jun28,90,152
Jun29,91,164
Jun30,92,174
Jul01,93,182
Jul02,94,191
Jul03,95,202
Jul04,96,210
