day,dayNo,case
Mar14,1,1
Mar15,2,1
Mar16,3,1
Mar17,4,1
Mar18,5,4
Mar19,6,6
Mar20,7,6
Mar21,8,6
Mar22,9,6
Mar23,10,9
Mar24,11,9
Mar25,12,9
Mar26,13,12
Mar27,14,12
Mar28,15,12
Mar29,16,12
Mar30,17,12
Mar31,18,15
Apr01,19,15
Apr02,20,15
Apr03,21,16
Apr04,22,16
Apr05,23,16
Apr06,24,16
Apr07,25,16
Apr08,26,18
Apr09,27,18
Apr10,28,18
Apr11,29,18
Apr12,30,21
Apr13,31,21
Apr14,32,41
Apr15,33,51
Apr16,34,51
Apr17,35,79
Apr18,36,79
Apr19,37,79
Apr20,38,153
Apr21,39,209
Apr22,40,209
Apr23,41,209
Apr24,42,214
Apr25,43,258
Apr26,44,258
Apr27,45,258
Apr28,46,315
Apr29,47,315
Apr30,48,315
May01,49,315
May02,50,315
May03,51,315
May04,52,315
May05,53,315
May06,54,439
May07,55,439
May08,56,439
May09,57,439
May10,58,439
May11,59,439
May12,60,439
May13,61,522
May14,62,583
May15,63,594
May16,64,594
May17,65,594
May18,66,719
May19,67,825
May20,68,890
May21,69,903
May22,70,960
May23,71,960
May24,72,960
May25,73,1043
May26,74,1043
May27,75,1043
May28,76,1043
May29,77,1306
May30,78,1306
May31,79,1306
Jun01,80,1306
Jun02,81,1306
Jun03,82,1306
Jun04,83,1306
Jun05,84,1306
Jun06,85,1306
Jun07,86,1306
Jun08,87,1306
Jun09,88,1306
Jun10,89,1306
Jun11,90,1306
Jun12,91,1306
Jun13,92,1306
Jun14,93,1306
Jun15,94,1306
Jun16,95,1306
Jun17,96,1664
Jun18,97,1664
Jun19,98,1664
Jun20,99,1664
Jun21,100,1664
Jun22,101,1664
Jun23,102,1664
Jun24,103,1664
Jun25,104,2001
Jun26,105,2001
Jun27,106,2001
Jun28,107,2001
Jun29,108,2001
Jun30,109,2001
Jul01,110,2001
Jul02,111,2001
Jul03,112,3071
Jul04,113,3071
