day,dayNo,case
Apr22,1,1
Apr23,2,1
Apr24,3,1
Apr25,4,1
Apr26,5,1
Apr27,6,1
Apr28,7,1
Apr29,8,1
Apr30,9,1
May01,10,1
May02,11,1
May03,12,1
May04,13,3
May05,14,3
May06,15,4
May07,16,4
May08,17,4
May09,18,4
May10,19,4
May11,20,4
May12,21,4
May13,22,6
May14,23,7
May15,24,7
May16,25,7
May17,26,7
May18,27,7
May19,28,7
May20,29,7
May21,30,10
May22,31,11
May23,32,11
May24,33,11
May25,34,12
May26,35,12
May27,36,12
May28,37,12
May29,38,12
May30,39,12
May31,40,12
Jun01,41,12
Jun02,42,12
Jun03,43,12
Jun04,44,12
Jun05,45,12
Jun06,46,12
Jun07,47,12
Jun08,48,12
Jun09,49,12
Jun10,50,12
Jun11,51,12
Jun12,52,12
Jun13,53,12
Jun14,54,12
Jun15,55,12
Jun16,56,12
Jun17,57,32
Jun18,58,32
Jun19,59,32
Jun20,60,32
Jun21,61,32
Jun22,62,32
Jun23,63,32
Jun24,64,32
Jun25,65,32
Jun26,66,32
Jun27,67,32
Jun28,68,32
Jun29,69,32
Jun30,70,32
Jul01,71,32
Jul02,72,32
Jul03,73,51
Jul04,74,51
