day,dayNo,case
Feb27,1,1
Feb28,2,1
Feb29,3,1
Mar01,4,1
Mar02,5,1
Mar03,6,2
Mar04,7,2
Mar05,8,5
Mar06,9,10
Mar07,10,10
Mar08,11,10
Mar09,12,10
Mar10,13,13
Mar11,14,16
Mar12,15,27
Mar13,16,79
Mar14,17,115
Mar15,18,171
Mar16,19,205
Mar17,20,225
Mar18,21,258
Mar19,22,267
Mar20,23,283
Mar21,24,306
Mar22,25,326
Mar23,26,352
Mar24,27,369
Mar25,28,404
Mar26,29,538
Mar27,30,575
Mar28,31,645
Mar29,32,679
Mar30,33,715
Mar31,34,745
Apr01,35,779
Apr02,36,858
Apr03,37,961
Apr04,38,1039
Apr05,39,1097
Apr06,40,1108
Apr07,41,1149
Apr08,42,1185
Apr09,43,1207
Apr10,44,1258
Apr11,45,1304
Apr12,46,1309
Apr13,47,1332
Apr14,48,1373
Apr15,49,1400
Apr16,50,1434
Apr17,51,1459
Apr18,52,1512
Apr19,53,1528
Apr20,54,1535
Apr21,55,1552
Apr22,56,1559
Apr23,57,1592
Apr24,58,1605
Apr25,59,1635
Apr26,60,1643
Apr27,61,1647
Apr28,62,1660
Apr29,63,1666
Apr30,64,1689
May01,65,1694
May02,66,1699
May03,67,1700
May04,68,1703
May05,69,1711
May06,70,1713
May07,71,1720
May08,72,1725
May09,73,1733
May10,74,1739
May11,75,1741
May12,76,1746
May13,77,1751
May14,78,1758
May15,79,1766
May16,80,1770
May17,81,1774
May18,82,1784
May19,83,1791
May20,84,1794
May21,85,1800
May22,86,1807
May23,87,1821
May24,88,1823
May25,89,1824
May26,90,1834
May27,91,1840
May28,92,1851
May29,93,1859
May30,94,1865
May31,95,1869
Jun01,96,1870
Jun02,97,1870
Jun03,98,1880
Jun04,99,1890
Jun05,100,1910
Jun06,101,1931
Jun07,102,1939
Jun08,103,1940
Jun09,104,1947
Jun10,105,1958
Jun11,106,1965
Jun12,107,1970
Jun13,108,1973
Jun14,109,1973
Jun15,110,1974
Jun16,111,1975
Jun17,112,1977
Jun18,113,1977
Jun19,114,1979
Jun20,115,1981
Jun21,116,1981
Jun22,117,1981
Jun23,118,1982
Jun24,119,1983
Jun25,120,1984
Jun26,121,1986
Jun27,122,1986
Jun28,123,1987
Jun29,124,1987
Jun30,125,1989
Jul01,126,1989
Jul02,127,1990
Jul03,128,1991
Jul04,129,1993
