day,dayNo,case
Mar25,1,1
Mar26,2,1
Mar27,3,1
Mar28,4,1
Mar29,5,3
Mar30,6,3
Mar31,7,4
Apr01,8,5
Apr02,9,11
Apr03,10,12
Apr04,11,13
Apr05,12,15
Apr06,13,19
Apr07,14,21
Apr08,15,24
Apr09,16,24
Apr10,17,24
Apr11,18,24
Apr12,19,25
Apr13,20,28
Apr14,21,31
Apr15,22,35
Apr16,23,36
Apr17,24,38
Apr18,25,38
Apr19,26,40
Apr20,27,40
Apr21,28,43
Apr22,29,44
Apr23,30,45
Apr24,31,46
Apr25,32,46
Apr26,33,49
Apr27,34,50
Apr28,35,50
Apr29,36,50
Apr30,37,52
May01,38,52
May02,39,53
May03,40,55
May04,41,55
May05,42,55
May06,43,55
May07,44,56
May08,45,56
May09,46,60
May10,47,60
May11,48,61
May12,49,61
May13,50,61
May14,51,62
May15,52,63
May16,53,63
May17,54,63
May18,55,64
May19,56,64
May20,57,64
May21,58,64
May22,59,64
May23,60,64
May24,61,64
May25,62,65
May26,63,65
May27,64,66
May28,65,66
May29,66,67
May30,67,67
May31,68,68
Jun01,69,68
Jun02,70,68
Jun03,71,69
Jun04,72,69
Jun05,73,69
Jun06,74,69
Jun07,75,69
Jun08,76,69
Jun09,77,69
Jun10,78,69
Jun11,79,69
Jun12,80,69
Jun13,81,69
Jun14,82,69
Jun15,83,69
Jun16,84,69
Jun17,85,69
Jun18,86,69
Jun19,87,69
Jun20,88,69
Jun21,89,69
Jun22,90,69
Jun23,91,69
Jun24,92,69
Jun25,93,69
Jun26,94,69
Jun27,95,69
Jun28,96,69
Jun29,97,69
Jun30,98,69
Jul01,99,69
Jul02,100,69
Jul03,101,69
Jul04,102,69
