day,dayNo,case
Mar13,1,1
Mar14,2,1
Mar15,3,4
Mar16,4,5
Mar17,5,6
Mar18,6,6
Mar19,7,7
Mar20,8,9
Mar21,9,9
Mar22,10,11
Mar23,11,11
Mar24,12,12
Mar25,13,12
Mar26,14,12
Mar27,15,16
Mar28,16,16
Mar29,17,21
Mar30,18,23
Mar31,19,26
Apr01,20,29
Apr02,21,29
Apr03,22,35
Apr04,23,38
Apr05,24,43
Apr06,25,44
Apr07,26,52
Apr08,27,55
Apr09,28,56
Apr10,29,65
Apr11,30,69
Apr12,31,71
Apr13,32,74
Apr14,33,82
Apr15,34,85
Apr16,35,92
Apr17,36,96
Apr18,37,105
Apr19,38,108
Apr20,39,111
Apr21,40,114
Apr22,41,116
Apr23,42,116
Apr24,43,117
Apr25,44,122
Apr26,45,123
Apr27,46,124
Apr28,47,126
Apr29,48,130
Apr30,49,131
May01,50,133
May02,51,133
May03,52,135
May04,53,140
May05,54,145
May06,55,162
May07,56,191
May08,57,194
May09,58,210
May10,59,239
May11,60,250
May12,61,261
May13,62,263
May14,63,272
May15,64,287
May16,65,306
May17,66,317
May18,67,352
May19,68,365
May20,69,389
May21,70,399
May22,71,433
May23,72,494
May24,73,582
May25,74,655
May26,75,701
May27,76,731
May28,77,831
May29,78,968
May30,79,1063
May31,80,1172
Jun01,81,1257
Jun02,82,1344
Jun03,83,1486
Jun04,84,1636
Jun05,85,1805
Jun06,86,1934
Jun07,87,2020
Jun08,88,2156
Jun09,89,2336
Jun10,90,2506
Jun11,91,2670
Jun12,92,2915
Jun13,93,3166
Jun14,94,3345
Jun15,95,3521
Jun16,96,3630
Jun17,97,3759
Jun18,98,3954
Jun19,99,4070
Jun20,100,4469
Jun21,101,4532
Jun22,102,4663
Jun23,103,4848
Jun24,104,5034
Jun25,105,5175
Jun26,106,5425
Jun27,107,5570
Jun28,108,5689
Jun29,109,5846
Jun30,110,5846
Jul01,111,5846
Jul02,112,5846
Jul03,113,5846
Jul04,114,5846
