day,dayNo,case
Apr05,1,2
Apr06,2,2
Apr07,3,2
Apr08,4,2
Apr09,5,2
Apr10,6,3
Apr11,7,3
Apr12,8,3
Apr13,9,3
Apr14,10,3
Apr15,11,3
Apr16,12,3
Apr17,13,3
Apr18,14,3
Apr19,15,3
Apr20,16,3
Apr21,17,3
Apr22,18,3
Apr23,19,3
Apr24,20,3
Apr25,21,3
Apr26,22,3
Apr27,23,3
Apr28,24,3
Apr29,25,3
Apr30,26,3
May01,27,3
May02,28,3
May03,29,3
May04,30,3
May05,31,4
May06,32,4
May07,33,4
May08,34,4
May09,35,5
May10,36,5
May11,37,5
May12,38,5
May13,39,5
May14,40,5
May15,41,5
May16,42,5
May17,43,5
May18,44,5
May19,45,5
May20,46,5
May21,47,5
May22,48,5
May23,49,5
May24,50,5
May25,51,5
May26,52,6
May27,53,6
May28,54,7
May29,55,8
May30,56,8
May31,57,11
Jun01,58,12
Jun02,59,14
Jun03,60,17
Jun04,61,18
Jun05,62,19
Jun06,63,20
Jun07,64,27
Jun08,65,27
Jun09,66,32
Jun10,67,35
Jun11,68,40
Jun12,69,47
Jun13,70,55
Jun14,71,57
Jun15,72,60
Jun16,73,61
Jun17,74,63
Jun18,75,65
Jun19,76,72
Jun20,77,72
Jun21,78,74
Jun22,79,75
Jun23,80,75
Jun24,81,78
Jun25,82,81
Jun26,83,89
Jun27,84,94
Jun28,85,98
Jun29,86,103
Jun30,87,103
Jul01,88,103
Jul02,89,103
Jul03,90,103
Jul04,91,103
