day,dayNo,case
Feb15,1,1
Feb16,2,1
Feb17,3,1
Feb18,4,1
Feb19,5,1
Feb20,6,1
Feb21,7,1
Feb22,8,1
Feb23,9,1
Feb24,10,1
Feb25,11,1
Feb26,12,2
Feb27,13,2
Feb28,14,3
Feb29,15,3
Mar01,16,6
Mar02,17,7
Mar03,18,7
Mar04,19,7
Mar05,20,12
Mar06,21,15
Mar07,22,19
Mar08,23,25
Mar09,24,33
Mar10,25,40
Mar11,26,65
Mar12,27,109
Mar13,28,155
Mar14,29,225
Mar15,30,244
Mar16,31,278
Mar17,32,322
Mar18,33,359
Mar19,34,400
Mar20,35,450
Mar21,36,523
Mar22,37,626
Mar23,38,700
Mar24,39,792
Mar25,40,880
Mar26,41,958
Mar27,42,1041
Mar28,43,1167
Mar29,44,1240
Mar30,45,1352
Mar31,46,1418
Apr01,47,1446
Apr02,48,1518
Apr03,49,1615
Apr04,50,1882
Apr05,51,1927
Apr06,52,2176
Apr07,53,2308
Apr08,54,2487
Apr09,55,2605
Apr10,56,2769
Apr11,57,2905
Apr12,58,2974
Apr13,59,3064
Apr14,60,3161
Apr15,61,3237
Apr16,62,3369
Apr17,63,3489
Apr18,64,3681
Apr19,65,3783
Apr20,66,3868
Apr21,67,4014
Apr22,68,4129
Apr23,69,4284
Apr24,70,4395
Apr25,71,4475
Apr26,72,4576
Apr27,73,4695
Apr28,74,4740
Apr29,75,4906
Apr30,76,4995
May01,77,5051
