day,dayNo,case
Mar21,1,1
Mar22,2,1
Mar23,3,1
Mar24,4,1
Mar25,5,3
Mar26,6,5
Mar27,7,7
Mar28,8,9
Mar29,9,11
Mar30,10,13
Mar31,11,17
Apr01,12,17
Apr02,13,19
Apr03,14,20
Apr04,15,25
Apr05,16,28
Apr06,17,27
Apr07,18,34
Apr08,19,40
Apr09,20,42
Apr10,21,48
Apr11,22,49
Apr12,23,56
Apr13,24,59
Apr14,25,64
Apr15,26,72
Apr16,27,75
Apr17,28,82
Apr18,29,90
Apr19,30,94
Apr20,31,98
Apr21,32,141
Apr22,33,149
Apr23,34,172
Apr24,35,177
Apr25,36,186
Apr26,37,190
Apr27,38,193
Apr28,39,199
Apr29,40,206
Apr30,41,211
May01,42,218
