day,dayNo,case
Feb15,1,12
Feb16,2,12
Feb17,3,12
Feb18,4,12
Feb19,5,12
Feb20,6,12
Feb21,7,12
Feb22,8,12
Feb23,9,12
Feb24,10,12
Feb25,11,14
Feb26,12,18
Feb27,13,38
Feb28,14,57
Feb29,15,100
Mar01,16,130
Mar02,17,191
Mar03,18,212
Mar04,19,285
Mar05,20,423
Mar06,21,653
Mar07,22,949
Mar08,23,1209
Mar09,24,1412
Mar10,25,1784
Mar11,26,2281
Mar12,27,2876
Mar13,28,3661
Mar14,29,4499
Mar15,30,5423
Mar16,31,6633
Mar17,32,7730
Mar18,33,9134
Mar19,34,10995
Mar20,35,12612
Mar21,36,14459
Mar22,37,16018
Mar23,38,19856
Mar24,39,22304
Mar25,40,25233
Mar26,41,29155
Mar27,42,32964
Mar28,43,37575
Mar29,44,40174
Mar30,45,44550
Mar31,46,52128
Apr01,47,56989
Apr02,48,59105
Apr03,49,76460
Apr04,50,83019
Apr05,51,87719
Apr06,52,90452
Apr07,53,99180
Apr08,54,103061
Apr09,55,107696
Apr10,56,113927
Apr11,57,118178
Apr12,58,120633
Apr13,59,124298
Apr14,60,130253
Apr15,61,133644
Apr16,62,140772
Apr17,63,143116
Apr18,64,146782
Apr19,65,147844
Apr20,66,150278
Apr21,67,153531
Apr22,68,155944
Apr23,69,158183
Apr24,70,159828
Apr25,71,161488
Apr26,72,162100
Apr27,73,163273
Apr28,74,165911
Apr29,75,166420
Apr30,76,167178
May01,77,167346
