day,dayNo,case
Feb15,1,1
Feb16,2,1
Feb17,3,1
Feb18,4,1
Feb19,5,1
Feb20,6,1
Feb21,7,1
Feb22,8,1
Feb23,9,1
Feb24,10,1
Feb25,11,1
Feb26,12,2
Feb27,13,2
Feb28,14,2
Feb29,15,2
Mar01,16,2
Mar02,17,3
Mar03,18,4
Mar04,19,4
Mar05,20,7
Mar06,21,9
Mar07,22,16
Mar08,23,19
Mar09,24,30
Mar10,25,33
Mar11,26,48
Mar12,27,61
Mar13,28,79
Mar14,29,91
Mar15,30,127
Mar16,31,148
Mar17,32,175
Mar18,33,264
Mar19,34,372
Mar20,35,450
Mar21,36,562
Mar22,37,674
Mar23,38,860
Mar24,39,1100
Mar25,40,1331
Mar26,41,1696
Mar27,42,1995
Mar28,43,2314
Mar29,44,2606
Mar30,45,3024
Mar31,46,3523
Apr01,47,4032
Apr02,48,5387
Apr03,49,6507
Apr04,50,7560
Apr05,51,8078
Apr06,52,8911
Apr07,53,10328
Apr08,54,10869
Apr09,55,12210
Apr10,56,13197
Apr11,57,13832
Apr12,58,14393
Apr13,59,14967
Apr14,60,15729
Apr15,61,17167
Apr16,62,17920
Apr17,63,18681
Apr18,64,19323
Apr19,65,19718
Apr20,66,20265
Apr21,67,20796
Apr22,68,21340
Apr23,69,21856
Apr24,70,22245
Apr25,71,22614
Apr26,72,22856
Apr27,73,23293
Apr28,74,23660
Apr29,75,24087
Apr30,76,24376
May01,77,24594
