day,dayNo,case
Mar07,1,5
Mar08,2,5
Mar09,3,5
Mar10,4,5
Mar11,5,6
Mar12,6,6
Mar13,7,6
Mar14,8,7
Mar15,9,7
Mar16,10,11
Mar17,11,15
Mar18,12,15
Mar19,13,15
Mar20,14,15
Mar21,15,18
Mar22,16,18
Mar23,17,20
Mar24,18,23
Mar25,19,28
Mar26,20,28
Mar27,21,28
Mar28,22,28
Mar29,23,43
Mar30,24,43
Mar31,25,51
Apr01,26,51
Apr02,27,51
Apr03,28,57
Apr04,29,61
Apr05,30,68
Apr06,31,72
Apr07,32,77
Apr08,33,83
Apr09,34,83
Apr10,35,83
Apr11,36,86
Apr12,37,86
Apr13,38,86
Apr14,39,86
Apr15,40,86
Apr16,41,86
Apr17,42,96
Apr18,43,96
Apr19,44,96
Apr20,45,97
Apr21,46,97
Apr22,47,107
Apr23,48,107
Apr24,49,111
Apr25,50,111
Apr26,51,111
Apr27,52,111
Apr28,53,125
Apr29,54,125
Apr30,55,126
May01,56,128
May02,57,128
May03,58,128
May04,59,133
May05,60,133
May06,61,138
May07,62,138
May08,63,141
May09,64,141
May10,65,144
May11,66,144
May12,67,153
May13,68,164
May14,69,184
May15,70,189
May16,71,197
May17,72,197
May18,73,210
May19,74,218
May20,75,237
May21,76,249
May22,77,261
May23,78,279
May24,79,328
May25,80,353
May26,81,384
May27,82,406
May28,83,436
May29,84,450
May30,85,477
May31,86,499
Jun01,87,499
Jun02,88,517
Jun03,89,533
Jun04,90,556
Jun05,91,589
Jun06,92,639
Jun07,93,689
Jun08,94,729
Jun09,95,773
Jun10,96,865
Jun11,97,917
Jun12,98,1043
Jun13,99,1161
Jun14,100,1255
Jun15,101,1326
Jun16,102,1421
Jun17,103,1554
Jun18,104,1758
Jun19,105,1969
Jun20,106,2163
Jun21,107,2441
Jun22,108,2458
Jun23,109,2593
Jun24,110,2827
Jun25,111,3033
Jun26,112,3270
Jun27,113,3461
Jun28,114,3461
Jun29,115,3774
Jun30,116,4004
Jul01,117,4268
Jul02,118,4444
Jul03,119,4558
Jul04,120,4913
