day,dayNo,case
Apr20,1,1
Apr21,2,1
Apr22,3,1
Apr23,4,1
Apr24,5,1
Apr25,6,1
Apr26,7,1
Apr27,8,1
Apr28,9,1
Apr29,10,1
Apr30,11,1
May01,12,1
May02,13,1
May03,14,1
May04,15,1
May05,16,1
May06,17,1
May07,18,1
May08,19,1
May09,20,1
May10,21,1
May11,22,1
May12,23,1
May13,24,1
May14,25,1
May15,26,1
May16,27,1
May17,28,1
May18,29,1
May19,30,1
May20,31,1
May21,32,1
May22,33,1
May23,34,1
May24,35,1
May25,36,1
May26,37,1
May27,38,1
May28,39,1
May29,40,1
May30,41,1
May31,42,1
Jun01,43,1
Jun02,44,1
Jun03,45,1
Jun04,46,1
Jun05,47,1
Jun06,48,1
Jun07,49,1
Jun08,50,2
Jun09,51,2
Jun10,52,2
Jun11,53,2
Jun12,54,2
Jun13,55,2
Jun14,56,3
Jun15,57,3
Jun16,58,5
Jun17,59,5
Jun18,60,5
Jun19,61,5
Jun20,62,5
Jun21,63,6
Jun22,64,8
Jun23,65,8
Jun24,66,9
Jun25,67,10
Jun26,68,11
Jun27,69,12
Jun28,70,12
Jun29,71,15
Jun30,72,15
Jul01,73,16
Jul02,74,16
Jul03,75,16
Jul04,76,16
