day,dayNo,case
Mar13,1,1
Mar14,2,1
Mar15,3,1
Mar16,4,1
Mar17,5,3
Mar18,6,3
Mar19,7,3
Mar20,8,4
Mar21,9,5
Mar22,10,5
Mar23,11,6
Mar24,12,6
Mar25,13,6
Mar26,14,7
Mar27,15,7
Mar28,16,7
Mar29,17,7
Mar30,18,7
Mar31,19,16
Apr01,20,18
Apr02,21,21
Apr03,22,21
Apr04,23,21
Apr05,24,21
Apr06,25,24
Apr07,26,30
Apr08,27,34
Apr09,28,44
Apr10,29,44
Apr11,30,46
Apr12,31,49
Apr13,32,57
Apr14,33,57
Apr15,34,80
Apr16,35,80
Apr17,36,108
Apr18,37,108
Apr19,38,109
Apr20,39,120
Apr21,40,156
Apr22,41,166
Apr23,42,167
Apr24,43,172
Apr25,44,176
Apr26,45,176
Apr27,46,211
Apr28,47,238
Apr29,48,276
Apr30,49,276
May01,50,276
May02,51,335
May03,52,335
May04,53,367
May05,54,397
May06,55,397
May07,56,504
May08,57,620
May09,58,661
May10,59,661
May11,60,802
May12,61,863
May13,62,1004
May14,63,1104
May15,64,1209
May16,65,1320
May17,66,1320
May18,67,1432
May19,68,1502
May20,69,1567
May21,70,1567
May22,71,1728
May23,72,1934
May24,73,1934
May25,74,2135
May26,75,2238
May27,76,2319
May28,77,2431
May29,78,2613
May30,79,2655
May31,80,2655
Jun01,81,2655
Jun02,82,2803
Jun03,83,2902
Jun04,84,2955
Jun05,85,3101
Jun06,86,3101
Jun07,87,3101
Jun08,88,3101
Jun09,89,3247
Jun10,90,3294
Jun11,91,3463
Jun12,92,3463
Jun13,93,3463
Jun14,94,3463
Jun15,95,4033
Jun16,96,4114
Jun17,97,4229
Jun18,98,4340
Jun19,99,4428
Jun20,100,4428
Jun21,101,4428
Jun22,102,4739
Jun23,103,4849
Jun24,104,4956
Jun25,105,5087
Jun26,106,5209
Jun27,107,5209
Jun28,108,5209
Jun29,109,5394
Jun30,110,5394
Jul01,111,5513
Jul02,112,5513
Jul03,113,5620
Jul04,114,5620
