day,dayNo,case
Mar20,1,1
Mar21,2,1
Mar22,3,1
Mar23,4,1
Mar24,5,1
Mar25,6,1
Mar26,7,1
Mar27,8,1
Mar28,9,1
Mar29,10,1
Mar30,11,1
Mar31,12,1
Apr01,13,1
Apr02,14,1
Apr03,15,1
Apr04,16,1
Apr05,17,1
Apr06,18,1
Apr07,19,1
Apr08,20,1
Apr09,21,1
Apr10,22,1
Apr11,23,1
Apr12,24,1
Apr13,25,1
Apr14,26,1
Apr15,27,1
Apr16,28,1
Apr17,29,1
Apr18,30,1
Apr19,31,1
Apr20,32,1
Apr21,33,1
Apr22,34,1
Apr23,35,2
Apr24,36,3
Apr25,37,3
Apr26,38,3
Apr27,39,3
Apr28,40,3
Apr29,41,3
Apr30,42,3
May01,43,3
May02,44,5
May03,45,5
May04,46,6
May05,47,6
May06,48,6
May07,49,8
May08,50,8
May09,51,8
May10,52,8
May11,53,9
May12,54,9
May13,55,9
May14,56,10
May15,57,10
May16,58,11
May17,59,11
May18,60,11
May19,61,12
May20,62,12
May21,63,12
May22,64,12
May23,65,12
May24,66,12
May25,67,14
May26,68,14
May27,69,14
May28,70,14
May29,71,15
May30,72,17
May31,73,17
Jun01,74,17
Jun02,75,20
Jun03,76,20
Jun04,77,21
Jun05,78,21
Jun06,79,21
Jun07,80,21
Jun08,81,21
Jun09,82,21
Jun10,83,21
Jun11,84,23
Jun12,85,23
Jun13,86,23
Jun14,87,23
Jun15,88,27
Jun16,89,29
Jun17,90,30
Jun18,91,32
Jun19,92,34
Jun20,93,34
Jun21,94,34
Jun22,95,39
Jun23,96,39
Jun24,97,39
Jun25,98,40
Jun26,99,40
Jun27,100,40
Jun28,101,40
Jun29,102,42
Jun30,103,42
Jul01,104,42
Jul02,105,42
Jul03,106,44
Jul04,107,44
