day,dayNo,case
Feb15,1,16
Feb16,2,16
Feb17,3,16
Feb18,4,16
Feb19,5,16
Feb20,6,16
Feb21,7,16
Feb22,8,16
Feb23,9,16
Feb24,10,16
Feb25,11,18
Feb26,12,26
Feb27,13,48
Feb28,14,74
Feb29,15,79
Mar01,16,130
Mar02,17,165
Mar03,18,203
Mar04,19,262
Mar05,20,545
Mar06,21,670
Mar07,22,800
Mar08,23,1040
Mar09,24,1224
Mar10,25,1565
Mar11,26,1966
Mar12,27,2745
Mar13,28,3675
Mar14,29,4599
Mar15,30,5813
Mar16,31,7272
Mar17,32,9367
Mar18,33,12327
Mar19,34,15320
Mar20,35,19848
Mar21,36,22364
Mar22,37,24873
Mar23,38,29056
Mar24,39,32991
Mar25,40,37323
Mar26,41,43938
Mar27,42,50871
Mar28,43,57695
Mar29,44,62435
Mar30,45,66885
Mar31,46,71808
Apr01,47,77981
Apr02,48,84794
Apr03,49,91159
Apr04,50,96092
Apr05,51,100123
Apr06,52,103375
Apr07,53,107663
Apr08,54,113296
Apr09,55,118235
Apr10,56,122171
Apr11,57,125452
Apr12,58,127854
Apr13,59,130072
Apr14,60,132210
Apr15,61,134753
Apr16,62,137698
Apr17,63,141397
Apr18,64,143724
Apr19,65,145742
Apr20,66,147065
Apr21,67,148453
Apr22,68,150648
Apr23,69,153129
Apr24,70,154999
Apr25,71,156513
Apr26,72,157770
Apr27,73,158758
Apr28,74,159912
Apr29,75,161539
Apr30,76,163009
May01,77,164077
May02,78,164967
May03,79,165664
May04,80,166152
May05,81,167007
May06,82,168162
May07,83,169430
May08,84,170588
May09,85,171324
May10,86,171879
May11,87,172576
May12,88,173171
May13,89,174098
May14,90,174975
May15,91,175699
May16,92,176244
May17,93,176651
May18,94,177289
May19,95,177827
May20,96,178531
May21,97,179021
May22,98,179713
May23,99,179986
May24,100,180328
May25,101,180789
May26,102,181288
May27,103,181895
May28,104,182452
May29,105,183019
May30,106,183294
May31,107,183494
Jun01,108,183765
Jun02,109,184091
Jun03,110,184425
Jun04,111,184923
Jun05,112,185414
Jun06,113,185696
Jun07,114,185869
Jun08,115,186205
Jun09,116,186516
Jun10,117,186510
Jun11,118,186795
Jun12,119,187251
Jun13,120,187423
Jun14,121,187671
Jun15,122,188044
Jun16,123,188382
Jun17,124,189504
Jun18,125,190126
Jun19,126,190660
Jun20,127,191216
Jun21,128,191575
Jun22,129,192119
Jun23,130,192778
Jun24,131,193254
Jun25,132,193785
Jun26,133,194399
Jun27,134,194689
Jun28,135,194864
Jun29,136,195392
Jun30,137,195832
Jul01,138,196324
Jul02,139,196717
Jul03,140,197000
Jul04,141,197418
