day,dayNo,case
Mar09,1,2
Mar10,2,2
Mar11,3,3
Mar12,4,6
Mar13,5,8
Mar14,6,9
Mar15,7,13
Mar16,8,17
Mar17,9,26
Mar18,10,28
Mar19,11,44
Mar20,12,68
Mar21,13,84
Mar22,14,94
Mar23,15,123
Mar24,16,159
Mar25,17,206
Mar26,18,267
Mar27,19,351
Mar28,20,433
Mar29,21,541
Mar30,22,645
Mar31,23,775
Apr01,24,931
Apr02,25,1107
Apr03,26,1275
Apr04,27,1444
Apr05,28,1584
Apr06,29,1810
Apr07,30,2016
Apr08,31,2349
Apr09,32,2607
Apr10,33,2736
Apr11,34,2871
Apr12,35,3022
Apr13,36,3194
Apr14,37,3495
Apr15,38,3804
Apr16,39,4052
Apr17,40,4352
Apr18,41,4538
Apr19,42,4642
Apr20,43,4862
Apr21,44,5086
Apr22,45,5315
Apr23,46,5575
Apr24,47,5760
Apr25,48,5877
Apr26,49,5976
Apr27,50,6126
Apr28,51,6314
Apr29,52,6467
Apr30,53,6623
May01,54,6736
May02,55,6812
May03,56,6866
May04,57,6993
May05,58,6993
May06,59,7275
May07,60,7392
May08,61,7510
May09,62,7549
May10,63,7569
May11,64,7661
May12,65,7738
May13,66,7861
May14,67,7928
May15,68,8001
May16,69,8027
May17,70,8049
May18,71,8123
May19,72,8193
May20,73,8270
May21,74,8309
May22,75,8352
May23,76,8366
May24,77,8371
May25,78,8428
May26,79,8498
May27,80,8533
May28,81,8570
May29,82,8594
May30,83,8600
May31,84,8605
Jun01,85,8618
Jun02,86,8674
Jun03,87,8699
Jun04,88,8736
Jun05,89,8763
Jun06,90,8769
Jun07,91,8776
Jun08,92,8783
Jun09,93,8831
Jun10,94,8844
Jun11,95,8851
Jun12,96,8863
Jun13,97,8867
Jun14,98,8870
Jun15,99,8885
Jun16,100,8910
Jun17,101,8927
Jun18,102,8946
Jun19,103,8960
Jun20,104,8961
Jun21,105,8962
Jun22,106,8969
Jun23,107,8986
Jun24,108,9003
Jun25,109,9012
Jun26,110,9026
Jun27,111,9026
Jun28,112,9029
Jun29,113,9041
Jun30,114,9052
Jul01,115,9061
Jul02,116,9064
Jul03,117,9073
Jul04,118,9081
