day,dayNo,case
Mar12,1,2
Mar13,2,2
Mar14,3,2
Mar15,4,6
Mar16,5,6
Mar17,6,7
Mar18,7,7
Mar19,8,11
Mar20,9,16
Mar21,10,21
Mar22,11,23
Mar23,12,27
Mar24,13,53
Mar25,14,68
Mar26,15,132
Mar27,16,137
Mar28,17,141
Mar29,18,152
Mar30,19,152
Mar31,20,161
Apr01,21,195
Apr02,22,204
Apr03,23,205
Apr04,24,205
Apr05,25,214
Apr06,26,214
Apr07,27,287
Apr08,28,313
Apr09,29,378
Apr10,30,378
Apr11,31,408
Apr12,32,566
Apr13,33,566
Apr14,34,636
Apr15,35,641
Apr16,36,641
Apr17,37,641
Apr18,38,834
Apr19,39,1042
Apr20,40,1042
Apr21,41,1042
Apr22,42,1154
Apr23,43,1154
Apr24,44,1279
Apr25,45,1279
Apr26,46,1550
Apr27,47,1550
Apr28,48,1671
Apr29,49,1671
Apr30,50,2074
May01,51,2074
