day,dayNo,case
Mar21,1,1
Mar22,2,1
Mar23,3,2
Mar24,4,2
Mar25,5,4
Mar26,6,4
Mar27,7,4
Mar28,8,5
Mar29,9,5
Mar30,10,5
Mar31,11,5
Apr01,12,5
Apr02,13,5
Apr03,14,5
Apr04,15,5
Apr05,16,5
Apr06,17,5
Apr07,18,5
Apr08,19,6
Apr09,20,6
Apr10,21,6
Apr11,22,8
Apr12,23,8
Apr13,24,8
Apr14,25,8
Apr15,26,8
Apr16,27,8
Apr17,28,8
Apr18,29,9
Apr19,30,9
Apr20,31,9
Apr21,32,9
Apr22,33,9
Apr23,34,9
Apr24,35,10
Apr25,36,10
Apr26,37,11
Apr27,38,11
Apr28,39,16
Apr29,40,16
Apr30,41,17
May01,42,17
May02,43,18
May03,44,18
May04,45,18
May05,46,18
May06,47,18
May07,48,18
May08,49,18
May09,50,22
May10,51,22
May11,52,22
May12,53,22
May13,54,24
May14,55,24
May15,56,28
May16,57,29
May17,58,29
May18,59,29
May19,60,31
May20,61,31
May21,62,31
May22,63,31
May23,64,31
May24,65,32
May25,66,32
May26,67,34
May27,68,34
May28,69,34
May29,70,34
May30,71,35
May31,72,36
Jun01,73,36
Jun02,74,38
Jun03,75,38
Jun04,76,38
Jun05,77,42
Jun06,78,44
Jun07,79,44
Jun08,80,48
Jun09,81,48
Jun10,82,48
Jun11,83,48
Jun12,84,48
Jun13,85,48
Jun14,86,54
Jun15,87,54
Jun16,88,58
Jun17,89,66
Jun18,90,66
Jun19,91,70
Jun20,92,85
Jun21,93,85
Jun22,94,85
Jun23,95,95
Jun24,96,95
Jun25,97,95
Jun26,98,103
Jun27,99,103
Jun28,100,112
Jun29,101,112
Jun30,102,112
Jul01,103,117
Jul02,104,117
Jul03,105,117
Jul04,106,117
