day,dayNo,case
Feb26,1,1
Feb27,2,3
Feb28,3,4
Feb29,4,7
Mar01,5,7
Mar02,6,7
Mar03,7,7
Mar04,8,9
Mar05,9,31
Mar06,10,45
Mar07,11,66
Mar08,12,73
Mar09,13,84
Mar10,14,89
Mar11,15,99
Mar12,16,117
Mar13,17,190
Mar14,18,228
Mar15,19,331
Mar16,20,352
Mar17,21,387
Mar18,22,418
Mar19,23,464
Mar20,24,495
Mar21,25,530
Mar22,26,624
Mar23,27,695
Mar24,28,743
Mar25,29,821
Mar26,30,892
Mar27,31,966
Mar28,32,1061
Mar29,33,1156
Mar30,34,1212
Mar31,35,1314
Apr01,36,1415
Apr02,37,1544
Apr03,38,1613
Apr04,39,1673
Apr05,40,1735
Apr06,41,1755
Apr07,42,1832
Apr08,43,1884
Apr09,44,1955
Apr10,45,2011
Apr11,46,2081
Apr12,47,2114
Apr13,48,2145
Apr14,49,2170
Apr15,50,2192
Apr16,51,2207
Apr17,52,2224
Apr18,53,2235
Apr19,54,2235
Apr20,55,2245
Apr21,56,2401
Apr22,57,2408
Apr23,58,2463
Apr24,59,2490
Apr25,60,2506
Apr26,61,2517
Apr27,62,2534
Apr28,63,2566
Apr29,64,2576
Apr30,65,2591
May01,66,2612
