day,dayNo,case
Mar12,1,1
Mar13,2,1
Mar14,3,3
Mar15,4,4
Mar16,5,4
Mar17,6,5
Mar18,7,5
Mar19,8,6
Mar20,9,10
Mar21,10,13
Mar22,11,15
Mar23,12,17
Mar24,13,20
Mar25,14,22
Mar26,15,27
Mar27,16,28
Mar28,17,32
Mar29,18,39
Mar30,19,46
Mar31,20,49
Apr01,21,51
Apr02,22,53
Apr03,23,63
Apr04,24,68
Apr05,25,73
Apr06,26,79
Apr07,27,81
Apr08,28,83
Apr09,29,87
Apr10,30,92
Apr11,31,93
Apr12,32,98
Apr13,33,99
Apr14,34,101
Apr15,35,102
Apr16,36,105
Apr17,37,108
Apr18,38,110
Apr19,39,113
Apr20,40,116
Apr21,41,121
Apr22,42,121
Apr23,43,125
Apr24,44,130
Apr25,45,130
Apr26,46,134
Apr27,47,136
Apr28,48,138
Apr29,49,139
Apr30,50,140
May01,51,140
