day,dayNo,case
Mar13,1,1
Mar14,2,1
Mar15,3,1
Mar16,4,8
Mar17,5,8
Mar18,6,8
Mar19,7,9
Mar20,8,12
Mar21,9,17
Mar22,10,19
Mar23,11,20
Mar24,12,21
Mar25,13,24
Mar26,14,25
Mar27,15,28
Mar28,16,34
Mar29,17,34
Mar30,18,36
Mar31,19,38
Apr01,20,39
Apr02,21,47
Apr03,22,50
Apr04,23,61
Apr05,24,70
Apr06,25,70
Apr07,26,77
Apr08,27,87
Apr09,28,95
Apr10,29,126
Apr11,30,137
Apr12,31,155
Apr13,32,156
Apr14,33,167
Apr15,34,180
Apr16,35,196
Apr17,36,214
Apr18,37,235
Apr19,38,257
Apr20,39,289
Apr21,40,294
Apr22,41,316
Apr23,42,342
Apr24,43,384
Apr25,44,430
Apr26,45,473
Apr27,46,500
Apr28,47,530
Apr29,48,557
Apr30,49,585
May01,50,599
May02,51,644
May03,52,688
May04,53,703
May05,54,730
May06,55,763
May07,56,798
May08,57,832
May09,58,900
May10,59,967
May11,60,1052
May12,61,1114
May13,62,1199
May14,63,1342
May15,64,1518
May16,65,1643
May17,66,1763
May18,67,1912
May19,68,2001
May20,69,2133
May21,70,2265
May22,71,2512
May23,72,2743
May24,73,3054
May25,74,3424
May26,75,3760
May27,76,3954
May28,77,4145
May29,78,4348
May30,79,4607
May31,80,4739
Jun01,81,5087
Jun02,82,5336
Jun03,83,5586
Jun04,84,5760
Jun05,85,6154
Jun06,86,6485
Jun07,87,6792
Jun08,88,7055
Jun09,89,7502
Jun10,90,7866
Jun11,91,8221
Jun12,92,8561
Jun13,93,8982
Jun14,94,9491
Jun15,95,9845
Jun16,96,10272
Jun17,97,10706
Jun18,98,11251
Jun19,99,11868
Jun20,100,12509
Jun21,101,12755
Jun22,102,13145
Jun23,103,13769
Jun24,104,14540
Jun25,105,14819
Jun26,106,15619
Jun27,107,15828
Jun28,108,16397
Jun29,109,16930
Jun30,110,17409
Jul01,111,18096
Jul02,112,19011
Jul03,113,21293
Jul04,114,22501
