day,dayNo,case
Mar15,1,1
Mar16,2,1
Mar17,3,1
Mar18,4,1
Mar19,5,1
Mar20,6,1
Mar21,7,1
Mar22,8,1
Mar23,9,1
Mar24,10,1
Mar25,11,1
Mar26,12,1
Mar27,13,1
Mar28,14,1
Mar29,15,1
Mar30,16,1
Mar31,17,1
Apr01,18,1
Apr02,19,1
Apr03,20,1
Apr04,21,2
Apr05,22,3
Apr06,23,3
Apr07,24,3
Apr08,25,3
Apr09,26,3
Apr10,27,3
Apr11,28,3
Apr12,29,5
Apr13,30,5
Apr14,31,5
Apr15,32,5
Apr16,33,5
Apr17,34,7
Apr18,35,7
Apr19,36,7
Apr20,37,7
Apr21,38,7
Apr22,39,8
Apr23,40,10
Apr24,41,11
Apr25,42,11
Apr26,43,13
Apr27,44,15
Apr28,45,15
Apr29,46,16
Apr30,47,16
May01,48,16
May02,49,16
May03,50,17
May04,51,17
May05,52,19
May06,53,19
May07,54,21
May08,55,23
May09,56,24
May10,57,24
May11,58,26
May12,59,26
May13,60,27
May14,61,29
May15,62,29
May16,63,30
May17,64,33
May18,65,35
May19,66,38
May20,67,43
May21,68,45
May22,69,48
May23,70,51
May24,71,55
May25,72,58
May26,73,59
May27,74,63
May28,75,68
May29,76,80
May30,77,90
May31,78,102
Jun01,79,108
Jun02,80,116
Jun03,81,123
Jun04,82,143
Jun05,83,158
Jun06,84,216
Jun07,85,230
Jun08,86,252
Jun09,87,267
Jun10,88,289
Jun11,89,316
Jun12,90,334
Jun13,91,351
Jun14,92,367
Jun15,93,384
Jun16,94,399
Jun17,95,418
Jun18,96,432
Jun19,97,449
Jun20,98,483
Jun21,99,514
Jun22,100,531
Jun23,101,547
Jun24,102,582
Jun25,103,601
Jun26,104,623
Jun27,105,672
Jun28,106,706
Jun29,107,727
Jun30,108,746
Jul01,109,773
Jul02,110,817
Jul03,111,880
Jul04,112,920
