day,dayNo,case
Mar25,1,2
Mar26,2,2
Mar27,3,2
Mar28,4,2
Mar29,5,2
Mar30,6,8
Mar31,7,8
Apr01,8,9
Apr02,9,9
Apr03,10,15
Apr04,11,18
Apr05,12,18
Apr06,13,18
Apr07,14,33
Apr08,15,33
Apr09,16,36
Apr10,17,36
Apr11,18,38
Apr12,19,38
Apr13,20,38
Apr14,21,43
Apr15,22,43
Apr16,23,43
Apr17,24,43
Apr18,25,46
Apr19,26,50
Apr20,27,50
Apr21,28,50
Apr22,29,50
Apr23,30,50
Apr24,31,52
Apr25,32,52
Apr26,33,53
Apr27,34,73
Apr28,35,73
Apr29,36,205
Apr30,37,205
May01,38,257
May02,39,257
May03,40,257
May04,41,413
May05,42,413
May06,43,475
May07,44,564
May08,45,594
May09,46,641
May10,47,726
May11,48,761
May12,49,820
May13,50,836
May14,51,913
May15,52,913
May16,53,969
May17,54,990
May18,55,1032
May19,56,1038
May20,57,1089
May21,58,1109
May22,59,1114
May23,60,1114
May24,61,1114
May25,62,1178
May26,63,1178
May27,64,1195
May28,65,1195
May29,66,1256
May30,67,1256
May31,68,1256
Jun01,69,1339
Jun02,70,1339
Jun03,71,1339
Jun04,72,1339
Jun05,73,1368
Jun06,74,1368
Jun07,75,1368
Jun08,76,1389
Jun09,77,1389
Jun10,78,1389
Jun11,79,1389
Jun12,80,1460
Jun13,81,1460
Jun14,82,1460
Jun15,83,1492
Jun16,84,1492
Jun17,85,1492
Jun18,86,1492
Jun19,87,1541
Jun20,88,1541
Jun21,89,1541
Jun22,90,1556
Jun23,91,1556
Jun24,92,1556
Jun25,93,1556
Jun26,94,1614
Jun27,95,1614
Jun28,96,1614
Jun29,97,1654
Jun30,98,1654
Jul01,99,1654
Jul02,100,1654
Jul03,101,1765
Jul04,102,1765
