day,dayNo,case
Apr26,1,1
Apr27,2,1
Apr28,3,1
Apr29,4,1
Apr30,5,1
May01,6,1
May02,7,1
May03,8,1
May04,9,1
May05,10,1
May06,11,2
May07,12,2
May08,13,2
May09,14,3
May10,15,3
May11,16,3
May12,17,3
May13,18,3
May14,19,3
May15,20,3
May16,21,4
May17,22,4
May18,23,4
May19,24,6
May20,25,6
May21,26,6
May22,27,6
May23,28,6
May24,29,6
May25,30,7
May26,31,7
May27,32,7
May28,33,8
May29,34,8
May30,35,8
May31,36,8
Jun01,37,8
Jun02,38,8
Jun03,39,8
Jun04,40,8
Jun05,41,12
Jun06,42,12
Jun07,43,12
Jun08,44,12
Jun09,45,12
Jun10,46,12
Jun11,47,12
Jun12,48,15
Jun13,49,15
Jun14,50,15
Jun15,51,15
Jun16,52,15
Jun17,53,15
Jun18,54,15
Jun19,55,17
Jun20,56,17
Jun21,57,17
Jun22,58,19
Jun23,59,19
Jun24,60,19
Jun25,61,19
Jun26,62,22
Jun27,63,22
Jun28,64,22
Jun29,65,24
Jun30,66,24
Jul01,67,24
Jul02,68,24
Jul03,69,25
Jul04,70,25
