day,dayNo,case
Mar13,1,1
Mar14,2,1
Mar15,3,1
Mar16,4,1
Mar17,5,1
Mar18,6,1
Mar19,7,1
Mar20,8,2
Mar21,9,2
Mar22,10,2
Mar23,11,4
Mar24,12,4
Mar25,13,4
Mar26,14,4
Mar27,15,8
Mar28,16,8
Mar29,17,16
Mar30,18,22
Mar31,19,22
Apr01,20,30
Apr02,21,52
Apr03,22,73
Apr04,23,111
Apr05,24,121
Apr06,25,128
Apr07,26,144
Apr08,27,164
Apr09,28,194
Apr10,29,212
Apr11,30,250
Apr12,31,250
Apr13,32,319
Apr14,33,363
Apr15,34,404
Apr16,35,438
Apr17,36,477
Apr18,37,518
Apr19,38,579
Apr20,39,622
Apr21,40,688
Apr22,41,761
Apr23,42,862
Apr24,43,954
Apr25,44,996
Apr26,45,996
Apr27,46,1163
Apr28,47,1240
Apr29,48,1351
Apr30,49,1495
May01,50,1537
May02,51,1586
May03,52,1586
May04,53,1710
May05,54,1811
May06,55,1856
May07,56,1927
May08,57,2009
May09,58,2042
May10,59,2146
May11,60,2146
May12,61,2298
May13,62,2374
May14,63,2473
May15,64,2473
May16,65,2658
May17,66,2658
May18,67,2796
May19,68,2863
May20,69,2863
May21,70,3067
May22,71,3067
May23,72,3176
May24,73,3275
May25,74,3275
May26,75,3275
May27,76,3275
May28,77,3553
May29,78,3656
May30,79,3706
May31,80,3706
Jun01,81,3844
Jun02,82,3886
Jun03,83,3933
Jun04,84,3991
Jun05,85,4060
Jun06,86,4117
Jun07,87,4117
Jun08,88,4216
Jun09,89,4258
Jun10,90,4258
Jun11,91,4372
Jun12,92,4426
Jun13,93,4484
Jun14,94,4532
Jun15,95,4572
Jun16,96,4639
Jun17,97,4668
Jun18,98,4841
Jun19,99,4904
Jun20,100,4960
Jun21,101,4988
Jun22,102,4988
Jun23,103,5040
Jun24,104,5174
Jun25,105,5174
Jun26,106,5260
Jun27,107,5291
Jun28,108,5342
Jun29,109,5351
Jun30,110,5391
Jul01,111,5404
Jul02,112,5450
Jul03,113,5521
Jul04,114,5570
