day,dayNo,case
Apr15,1,1
Apr16,2,1
Apr17,3,3
Apr18,4,3
Apr19,5,5
Apr20,6,5
Apr21,7,6
Apr22,8,6
Apr23,9,6
Apr24,10,6
Apr25,11,7
Apr26,12,7
Apr27,13,7
Apr28,14,7
Apr29,15,7
Apr30,16,7
May01,17,7
May02,18,7
May03,19,7
May04,20,9
May05,21,10
May06,22,11
May07,23,11
May08,24,11
May09,25,11
May10,26,11
May11,27,11
May12,28,11
May13,29,14
May14,30,15
May15,31,15
May16,32,16
May17,33,16
May18,34,16
May19,35,18
May20,36,18
May21,37,18
May22,38,19
May23,39,20
May24,40,20
May25,41,20
May26,42,20
May27,43,20
May28,44,22
May29,45,22
May30,46,23
May31,47,23
Jun01,48,23
Jun02,49,23
Jun03,50,23
Jun04,51,23
Jun05,52,23
Jun06,53,23
Jun07,54,23
Jun08,55,23
Jun09,56,23
Jun10,57,23
Jun11,58,23
Jun12,59,24
Jun13,60,25
Jun14,61,25
Jun15,62,26
Jun16,63,26
Jun17,64,26
Jun18,65,26
Jun19,66,27
Jun20,67,27
Jun21,68,27
Jun22,69,27
Jun23,70,28
Jun24,71,29
Jun25,72,29
Jun26,73,29
Jun27,74,30
Jun28,75,31
Jun29,76,31
Jun30,77,33
Jul01,78,33
Jul02,79,33
Jul03,80,33
Jul04,81,34
