day,dayNo,case
Mar20,1,2
Mar21,2,2
Mar22,3,2
Mar23,4,6
Mar24,5,7
Mar25,6,8
Mar26,7,8
Mar27,8,8
Mar28,9,8
Mar29,10,15
Mar30,11,15
Mar31,12,15
Apr01,13,16
Apr02,14,16
Apr03,15,18
Apr04,16,20
Apr05,17,21
Apr06,18,24
Apr07,19,25
Apr08,20,27
Apr09,21,30
Apr10,22,31
Apr11,23,33
Apr12,24,33
Apr13,25,40
Apr14,26,40
Apr15,27,41
Apr16,28,41
Apr17,29,43
Apr18,30,44
Apr19,31,47
Apr20,32,57
Apr21,33,57
Apr22,34,62
Apr23,35,72
Apr24,36,72
Apr25,37,72
Apr26,38,74
Apr27,39,74
Apr28,40,76
Apr29,41,76
Apr30,42,81
May01,43,85
May02,44,85
May03,45,85
May04,46,100
May05,47,101
May06,48,101
May07,49,129
May08,50,146
May09,51,151
May10,52,182
May11,53,182
May12,54,209
May13,55,219
May14,56,234
May15,57,273
May16,58,358
May17,59,456
May18,60,533
May19,61,533
May20,62,596
May21,63,663
May22,64,734
May23,65,812
May24,66,865
May25,67,958
May26,68,1063
May27,69,1174
May28,70,1320
May29,71,1443
May30,72,1584
May31,73,1865
Jun01,74,2124
Jun02,75,2226
Jun03,76,2507
Jun04,77,2640
Jun05,78,2740
Jun06,79,3072
Jun07,80,3072
Jun08,81,3334
Jun09,82,3538
Jun10,83,3662
Jun11,84,3796
Jun12,85,3941
Jun13,86,3941
Jun14,87,4165
Jun15,88,4309
Jun16,89,4441
Jun17,90,4547
Jun18,91,4688
Jun19,92,4916
Jun20,93,4980
Jun21,94,5077
Jun22,95,5211
Jun23,96,5211
Jun24,97,5324
Jun25,98,5429
Jun26,99,5543
Jun27,100,5722
Jun28,101,5777
Jun29,102,5847
Jun30,103,5933
Jul01,104,5975
Jul02,105,6040
Jul03,106,6101
Jul04,107,6230
