day,dayNo,case
Apr05,1,1
Apr06,2,1
Apr07,3,1
Apr08,4,1
Apr09,5,2
Apr10,6,2
Apr11,7,2
Apr12,8,3
Apr13,9,3
Apr14,10,3
Apr15,11,3
Apr16,12,3
Apr17,13,3
Apr18,14,3
Apr19,15,3
Apr20,16,3
Apr21,17,3
Apr22,18,4
Apr23,19,5
Apr24,20,5
Apr25,21,6
Apr26,22,6
Apr27,23,6
Apr28,24,6
Apr29,25,6
Apr30,26,8
May01,27,8
May02,28,8
May03,29,8
May04,30,11
May05,31,12
May06,32,12
May07,33,12
May08,34,12
May09,35,12
May10,36,15
May11,37,15
May12,38,16
May13,39,18
May14,40,18
May15,41,20
May16,42,20
May17,43,20
May18,44,21
May19,45,21
May20,46,22
May21,47,22
May22,48,25
May23,49,25
May24,50,26
May25,51,27
May26,52,31
May27,53,33
May28,54,34
May29,55,35
May30,56,35
May31,57,41
Jun01,58,44
Jun02,59,45
Jun03,60,48
Jun04,61,50
Jun05,62,50
Jun06,63,50
Jun07,64,50
Jun08,65,51
Jun09,66,54
Jun10,67,56
Jun11,68,58
Jun12,69,64
Jun13,70,64
Jun14,71,70
Jun15,72,73
Jun16,73,76
Jun17,74,80
Jun18,75,82
Jun19,76,84
Jun20,77,87
Jun21,78,88
Jun22,79,88
Jun23,80,88
Jun24,81,89
Jun25,82,92
Jun26,83,96
Jun27,84,98
Jun28,85,100
Jun29,86,104
Jun30,87,105
Jul01,88,105
Jul02,89,107
Jul03,90,110
Jul04,91,110
