day,dayNo,case
Mar11,1,2
Mar12,2,2
Mar13,3,2
Mar14,4,3
Mar15,5,3
Mar16,6,6
Mar17,7,8
Mar18,8,9
Mar19,9,12
Mar20,10,24
Mar21,11,24
Mar22,12,26
Mar23,13,30
Mar24,14,30
Mar25,15,52
Mar26,16,67
Mar27,17,68
Mar28,18,95
Mar29,19,110
Mar30,20,139
Mar31,21,141
Apr01,22,172
Apr02,23,219
Apr03,24,222
Apr04,25,264
Apr05,26,268
Apr06,27,298
Apr07,28,305
Apr08,29,312
Apr09,30,343
Apr10,31,382
Apr11,32,392
Apr12,33,393
Apr13,34,397
Apr14,35,407
Apr15,36,419
Apr16,37,426
Apr17,38,442
Apr18,39,457
Apr19,40,472
Apr20,41,477
Apr21,42,494
Apr22,43,510
Apr23,44,519
Apr24,45,562
Apr25,46,591
Apr26,47,627
Apr27,48,661
Apr28,49,702
Apr29,50,738
Apr30,51,771
May01,52,804
