day,dayNo,case
Mar26,1,1
Mar27,2,1
Mar28,3,1
Mar29,4,3
Mar30,5,7
Mar31,6,7
Apr01,7,10
Apr02,8,14
Apr03,9,15
Apr04,10,15
Apr05,11,22
Apr06,12,22
Apr07,13,22
Apr08,14,22
Apr09,15,23
Apr10,16,23
Apr11,17,24
Apr12,18,25
Apr13,19,25
Apr14,20,26
Apr15,21,31
Apr16,22,35
Apr17,23,41
Apr18,24,46
Apr19,25,46
Apr20,26,46
Apr21,27,46
Apr22,28,46
Apr23,29,47
Apr24,30,47
Apr25,31,55
Apr26,32,59
Apr27,33,61
Apr28,34,64
Apr29,35,66
Apr30,36,71
May01,37,75
May02,38,75
May03,39,76
May04,40,82
May05,41,83
May06,42,93
May07,43,99
May08,44,105
May09,45,107
May10,46,108
May11,47,108
May12,48,116
May13,49,121
May14,50,123
May15,51,133
May16,52,134
May17,53,138
May18,54,142
May19,55,146
May20,56,147
May21,57,151
May22,58,156
May23,59,167
May24,60,174
May25,61,180
May26,62,182
May27,63,188
May28,64,194
May29,65,196
May30,66,199
May31,67,201
Jun01,68,212
Jun02,69,217
Jun03,70,225
Jun04,71,234
Jun05,72,243
Jun06,73,248
Jun07,74,250
Jun08,75,258
Jun09,76,262
Jun10,77,271
Jun11,78,290
Jun12,79,294
Jun13,80,306
Jun14,81,310
Jun15,82,312
Jun16,83,322
Jun17,84,330
Jun18,85,336
Jun19,86,343
Jun20,87,349
Jun21,88,358
Jun22,89,363
Jun23,90,395
Jun24,91,405
Jun25,92,417
Jun26,93,426
Jun27,94,471
Jun28,95,479
Jun29,96,479
Jun30,97,485
Jul01,98,497
Jul02,99,542
Jul03,100,591
Jul04,101,605
