day,dayNo,case
Feb15,1,56
Feb16,2,57
Feb17,3,60
Feb18,4,62
Feb19,5,65
Feb20,6,69
Feb21,7,69
Feb22,8,70
Feb23,9,74
Feb24,10,81
Feb25,11,85
Feb26,12,89
Feb27,13,92
Feb28,14,93
Feb29,15,95
Mar01,16,100
Mar02,17,100
Mar03,18,101
Mar04,19,103
Mar05,20,105
Mar06,21,108
Mar07,22,108
Mar08,23,115
Mar09,24,116
Mar10,25,121
Mar11,26,130
Mar12,27,131
Mar13,28,132
Mar14,29,142
Mar15,30,149
Mar16,31,155
Mar17,32,168
Mar18,33,193
Mar19,34,208
Mar20,35,256
Mar21,36,274
Mar22,37,318
Mar23,38,357
Mar24,39,387
Mar25,40,411
Mar26,41,454
Mar27,42,519
Mar28,43,560
Mar29,44,642
Mar30,45,683
Mar31,46,715
Apr01,47,766
Apr02,48,802
Apr03,49,845
Apr04,50,862
Apr05,51,891
Apr06,52,915
Apr07,53,936
Apr08,54,961
Apr09,55,974
Apr10,56,990
Apr11,57,1001
Apr12,58,1005
Apr13,59,1010
Apr14,60,1013
Apr15,61,1017
Apr16,62,1018
Apr17,63,1022
Apr18,64,1024
Apr19,65,1026
Apr20,66,1026
Apr21,67,1030
Apr22,68,1034
Apr23,69,1036
Apr24,70,1036
Apr25,71,1038
Apr26,72,1038
Apr27,73,1038
Apr28,74,1038
Apr29,75,1038
Apr30,76,1038
May01,77,1040
May02,78,1040
May03,79,1040
May04,80,1041
May05,81,1041
May06,82,1041
May07,83,1045
May08,84,1045
May09,85,1045
May10,86,1048
May11,87,1048
May12,88,1048
May13,89,1051
May14,90,1052
May15,91,1053
May16,92,1053
May17,93,1056
May18,94,1056
May19,95,1056
May20,96,1056
May21,97,1064
May22,98,1066
May23,99,1066
May24,100,1066
May25,101,1066
May26,102,1066
May27,103,1067
May28,104,1067
May29,105,1080
May30,106,1083
May31,107,1085
Jun01,108,1088
Jun02,109,1094
Jun03,110,1094
Jun04,111,1099
Jun05,112,1103
Jun06,113,1106
Jun07,114,1107
Jun08,115,1108
Jun09,116,1108
Jun10,117,1108
Jun11,118,1108
Jun12,119,1109
Jun13,120,1110
Jun14,121,1110
Jun15,122,1113
Jun16,123,1113
Jun17,124,1121
Jun18,125,1125
Jun19,126,1128
Jun20,127,1129
Jun21,128,1132
Jun22,129,1162
Jun23,130,1178
Jun24,131,1180
Jun25,132,1194
Jun26,133,1197
Jun27,134,1198
Jun28,135,1200
Jun29,136,1204
Jun30,137,1206
Jul01,138,1234
Jul02,139,1243
Jul03,140,1248
Jul04,141,1259
