day,dayNo,case
Feb15,1,1
Feb16,2,1
Feb17,3,1
Feb18,4,1
Feb19,5,2
Feb20,6,2
Feb21,7,2
Feb22,8,2
Feb23,9,2
Feb24,10,2
Feb25,11,2
Feb26,12,2
Feb27,13,2
Feb28,14,2
Feb29,15,2
Mar01,16,2
Mar02,17,2
Mar03,18,2
Mar04,19,2
Mar05,20,2
Mar06,21,2
Mar07,22,2
Mar08,23,3
Mar09,24,3
Mar10,25,3
Mar11,26,3
Mar12,27,3
Mar13,28,4
Mar14,29,4
Mar15,30,4
Mar16,31,4
Mar17,32,4
Mar18,33,4
Mar19,34,4
Mar20,35,4
Mar21,36,4
Mar22,37,4
Mar23,38,4
Mar24,39,4
Mar25,40,4
Mar26,41,4
Mar27,42,4
Mar28,43,4
Mar29,44,4
Mar30,45,4
Mar31,46,4
Apr01,47,4
Apr02,48,4
Apr03,49,4
Apr04,50,4
Apr05,51,4
Apr06,52,4
Apr07,53,4
Apr08,54,4
Apr09,55,4
Apr10,56,4
Apr11,57,4
Apr12,58,4
Apr13,59,4
Apr14,60,4
Apr15,61,4
Apr16,62,4
Apr17,63,4
Apr18,64,4
Apr19,65,4
Apr20,66,4
Apr21,67,4
Apr22,68,4
Apr23,69,4
Apr24,70,4
Apr25,71,4
Apr26,72,4
Apr27,73,4
Apr28,74,4
Apr29,75,4
Apr30,76,4
May01,77,4
