day,dayNo,case
Mar04,1,2
Mar05,2,4
Mar06,3,4
Mar07,4,5
Mar08,5,7
Mar09,6,9
Mar10,7,12
Mar11,8,13
Mar12,9,16
Mar13,10,19
Mar14,11,30
Mar15,12,32
Mar16,13,39
Mar17,14,50
Mar18,15,58
Mar19,16,73
Mar20,17,85
Mar21,18,103
Mar22,19,131
Mar23,20,167
Mar24,21,187
Mar25,22,226
Mar26,23,261
Mar27,24,300
Mar28,25,343
Mar29,26,408
Mar30,27,447
Mar31,28,492
Apr01,29,525
Apr02,30,585
Apr03,31,623
Apr04,32,678
Apr05,33,733
Apr06,34,744
Apr07,35,817
Apr08,36,895
Apr09,37,980
Apr10,38,1190
Apr11,39,1310
Apr12,40,1410
Apr13,41,1458
Apr14,42,1512
Apr15,43,1579
Apr16,44,1652
Apr17,45,1763
Apr18,46,1834
Apr19,47,1916
Apr20,48,1984
Apr21,49,2098
Apr22,50,2168
Apr23,51,2284
Apr24,52,2383
Apr25,53,2443
Apr26,54,2500
Apr27,55,2583
Apr28,56,2649
Apr29,57,2727
Apr30,58,2775
May01,59,2863
May02,60,2942
May03,61,2998
May04,62,3035
May05,63,3065
May06,64,3111
May07,65,3150
May08,66,3178
May09,67,3213
May10,68,3263
May11,69,3284
May12,70,3313
May13,71,3341
May14,72,3380
May15,73,3417
May16,74,3473
May17,75,3509
May18,76,3535
May19,77,3556
May20,78,3598
May21,79,3641
May22,80,3678
May23,81,3713
May24,82,3741
May25,83,3756
May26,84,3771
May27,85,3793
May28,86,3816
May29,87,3841
May30,88,3867
May31,89,3876
Jun01,90,3892
Jun02,91,3921
Jun03,92,3931
Jun04,93,3954
Jun05,94,3970
Jun06,95,3990
Jun07,96,4008
Jun08,97,4014
Jun09,98,4017
Jun10,99,4027
Jun11,100,4039
Jun12,101,4053
Jun13,102,4064
Jun14,103,4069
Jun15,104,4076
Jun16,105,4077
Jun17,106,4078
Jun18,107,4079
Jun19,108,4081
Jun20,109,4086
Jun21,110,4094
Jun22,111,4102
Jun23,112,4107
Jun24,113,4114
Jun25,114,4123
Jun26,115,4127
Jun27,116,4138
Jun28,117,4142
Jun29,118,4145
Jun30,119,4155
Jul01,120,4157
Jul02,121,4166
Jul03,122,4172
Jul04,123,4174
