day,dayNo,case
Mar15,1,1
Mar16,2,1
Mar17,3,1
Mar18,4,1
Mar19,5,1
Mar20,6,4
Mar21,7,4
Mar22,8,6
Mar23,9,8
Mar24,10,9
Mar25,11,10
Mar26,12,10
Mar27,13,10
Mar28,14,11
Mar29,15,13
Mar30,16,15
Mar31,17,16
Apr01,18,20
Apr02,19,21
Apr03,20,26
Apr04,21,32
Apr05,22,34
Apr06,23,38
Apr07,24,47
Apr08,25,58
Apr09,26,66
Apr10,27,77
Apr11,28,85
Apr12,29,99
Apr13,30,109
Apr14,31,122
Apr15,32,134
Apr16,33,142
Apr17,34,156
Apr18,35,172
Apr19,36,189
Apr20,37,199
Apr21,38,213
Apr22,39,225
Apr23,40,239
Apr24,41,250
Apr25,42,262
Apr26,43,272
Apr27,44,280
Apr28,45,291
Apr29,46,300
Apr30,47,312
May01,48,323
May02,49,335
May03,50,340
May04,51,351
May05,52,363
May06,53,373
May07,54,383
May08,55,392
May09,56,405
May10,57,413
May11,58,421
May12,59,425
May13,60,430
May14,61,436
May15,62,442
May16,63,448
May17,64,451
May18,65,462
May19,66,467
May20,67,470
May21,68,473
May22,69,476
May23,70,482
May24,71,486
May25,72,491
May26,73,499
May27,74,505
May28,75,509
May29,76,517
May30,77,524
May31,78,526
Jun01,79,527
Jun02,80,532
Jun03,81,534
Jun04,82,539
Jun05,83,542
Jun06,84,545
Jun07,85,546
Jun08,86,548
Jun09,87,550
Jun10,88,551
Jun11,89,553
Jun12,90,555
Jun13,91,559
Jun14,92,562
Jun15,93,563
Jun16,94,565
Jun17,95,567
Jun18,96,568
Jun19,97,568
Jun20,98,570
Jun21,99,570
Jun22,100,572
Jun23,101,573
Jun24,102,576
Jun25,103,577
Jun26,104,578
Jun27,105,578
Jun28,106,581
Jun29,107,585
Jun30,108,585
Jul01,109,586
Jul02,110,587
Jul03,111,588
Jul04,112,589
