day,dayNo,case
Feb28,1,1
Feb29,2,1
Mar01,3,3
Mar02,4,9
Mar03,5,14
Mar04,6,26
Mar05,7,37
Mar06,8,45
Mar07,9,50
Mar08,10,58
Mar09,11,65
Mar10,12,81
Mar11,13,85
Mar12,14,117
Mar13,15,134
Mar14,16,161
Mar15,17,180
Mar16,18,199
Mar17,19,247
Mar18,20,250
Mar19,21,330
Mar20,22,409
Mar21,23,473
Mar22,24,568
Mar23,25,588
Mar24,26,648
Mar25,27,737
Mar26,28,802
Mar27,29,890
Mar28,30,963
Mar29,31,1020
Mar30,32,1086
Mar31,33,1135
Apr01,34,1220
Apr02,35,1319
Apr03,36,1364
Apr04,37,1417
Apr05,38,1486
Apr06,39,1562
Apr07,40,1586
Apr08,41,1616
Apr09,42,1648
Apr10,43,1675
Apr11,44,1689
Apr12,45,1701
Apr13,46,1711
Apr14,47,1720
Apr15,48,1727
Apr16,49,1739
Apr17,50,1754
Apr18,51,1760
Apr19,52,1771
Apr20,53,1773
Apr21,54,1778
Apr22,55,1785
Apr23,56,1789
Apr24,57,1789
Apr25,58,1790
Apr26,59,1792
Apr27,60,1792
Apr28,61,1795
Apr29,62,1797
Apr30,63,1797
May01,64,1798
May02,65,1798
May03,66,1799
May04,67,1799
May05,68,1799
May06,69,1799
May07,70,1801
May08,71,1801
May09,72,1801
May10,73,1801
May11,74,1801
May12,75,1801
May13,76,1802
May14,77,1802
May15,78,1802
May16,79,1802
May17,80,1802
May18,81,1802
May19,82,1802
May20,83,1803
May21,84,1803
May22,85,1803
May23,86,1804
May24,87,1804
May25,88,1804
May26,89,1804
May27,90,1805
May28,91,1805
May29,92,1805
May30,93,1806
May31,94,1806
Jun01,95,1806
Jun02,96,1806
Jun03,97,1806
Jun04,98,1806
Jun05,99,1806
Jun06,100,1806
Jun07,101,1807
Jun08,102,1807
Jun09,103,1807
Jun10,104,1807
Jun11,105,1807
Jun12,106,1807
Jun13,107,1808
Jun14,108,1810
Jun15,109,1810
Jun16,110,1812
Jun17,111,1815
Jun18,112,1816
Jun19,113,1819
Jun20,114,1822
Jun21,115,1823
Jun22,116,1823
Jun23,117,1824
Jun24,118,1824
Jun25,119,1830
Jun26,120,1832
Jun27,121,1836
Jun28,122,1838
Jun29,123,1840
Jun30,124,1842
Jul01,125,1847
Jul02,126,1850
Jul03,127,1855
Jul04,128,1860
