day,dayNo,case
Mar21,1,1
Mar22,2,1
Mar23,3,1
Mar24,4,2
Mar25,5,2
Mar26,6,2
Mar27,7,2
Mar28,8,2
Mar29,9,2
Mar30,10,2
Mar31,11,2
Apr01,12,2
Apr02,13,4
Apr03,14,4
Apr04,15,4
Apr05,16,4
Apr06,17,6
Apr07,18,6
Apr08,19,6
Apr09,20,6
Apr10,21,7
Apr11,22,8
Apr12,23,8
Apr13,24,8
Apr14,25,8
Apr15,26,8
Apr16,27,8
Apr17,28,9
Apr18,29,9
Apr19,30,9
Apr20,31,10
Apr21,32,10
Apr22,33,10
Apr23,34,10
Apr24,35,10
Apr25,36,10
Apr26,37,10
Apr27,38,10
Apr28,39,10
Apr29,40,10
Apr30,41,10
May01,42,10
May02,43,10
May03,44,10
May04,45,10
May05,46,10
May06,47,10
May07,48,10
May08,49,10
May09,50,10
May10,51,10
May11,52,10
May12,53,10
May13,54,10
May14,55,10
May15,56,10
May16,57,10
May17,58,10
May18,59,10
May19,60,10
May20,61,10
May21,62,10
May22,63,10
May23,64,10
May24,65,10
May25,66,10
May26,67,10
May27,68,10
May28,69,10
May29,70,10
May30,71,10
May31,72,10
Jun01,73,10
Jun02,74,10
Jun03,75,10
Jun04,76,10
Jun05,77,10
Jun06,78,10
Jun07,79,10
Jun08,80,10
Jun09,81,10
Jun10,82,10
Jun11,83,10
Jun12,84,10
Jun13,85,10
Jun14,86,10
Jun15,87,10
Jun16,88,10
Jun17,89,10
Jun18,90,10
Jun19,91,10
Jun20,92,10
Jun21,93,10
Jun22,94,10
Jun23,95,10
Jun24,96,10
Jun25,97,10
Jun26,98,10
Jun27,99,10
Jun28,100,10
Jun29,101,10
Jun30,102,10
Jul01,103,10
Jul02,104,10
Jul03,105,10
Jul04,106,10
