day,dayNo,case
Feb15,1,3
Feb16,2,3
Feb17,3,3
Feb18,4,3
Feb19,5,3
Feb20,6,3
Feb21,7,3
Feb22,8,3
Feb23,9,3
Feb24,10,3
Feb25,11,3
Feb26,12,3
Feb27,13,3
Feb28,14,3
Feb29,15,3
Mar01,16,3
Mar02,17,6
Mar03,18,7
Mar04,19,29
Mar05,20,30
Mar06,21,31
Mar07,22,34
Mar08,23,40
Mar09,24,47
Mar10,25,62
Mar11,26,62
Mar12,27,74
Mar13,28,82
Mar14,29,100
Mar15,30,114
Mar16,31,129
Mar17,32,143
Mar18,33,169
Mar19,34,194
Mar20,35,249
Mar21,36,332
Mar22,37,396
Mar23,38,499
Mar24,39,536
Mar25,40,657
Mar26,41,727
Mar27,42,887
Mar28,43,987
Mar29,44,1024
Mar30,45,1251
Mar31,46,1397
Apr01,47,1998
Apr02,48,2543
Apr03,49,3059
Apr04,50,3588
Apr05,51,4289
Apr06,52,4778
Apr07,53,5351
Apr08,54,5916
Apr09,55,6725
Apr10,56,7600
Apr11,57,8446
Apr12,58,9205
Apr13,59,10453
Apr14,60,11487
Apr15,61,12370
Apr16,62,13430
Apr17,63,14352
Apr18,64,16365
Apr19,65,17615
Apr20,66,18539
Apr21,67,20080
Apr22,68,21370
Apr23,69,23039
Apr24,70,24447
Apr25,71,26283
Apr26,72,27890
Apr27,73,29451
Apr28,74,31324
Apr29,75,33062
Apr30,76,34863
May01,77,37257
May02,78,39699
May03,79,42505
May04,80,46437
May05,81,49400
May06,82,52987
May07,83,56351
May08,84,59695
May09,85,62808
May10,86,67161
May11,87,70768
May12,88,74292
May13,89,78055
May14,90,81997
May15,91,85784
May16,92,90648
May17,93,95698
May18,94,100328
May19,95,106475
May20,96,112028
May21,97,118226
May22,98,124794
May23,99,131423
May24,100,138536
May25,101,144950
May26,102,150793
May27,103,158086
May28,104,165386
May29,105,173491
May30,106,181827
May31,107,190609
Jun01,108,198370
Jun02,109,207191
Jun03,110,216824
Jun04,111,226713
Jun05,112,236184
Jun06,113,246622
Jun07,114,257486
Jun08,115,265928
Jun09,116,274780
Jun10,117,287155
Jun11,118,298283
Jun12,119,309603
Jun13,120,321626
Jun14,121,332783
Jun15,122,343026
Jun16,123,354161
Jun17,124,367264
Jun18,125,381091
Jun19,126,395812
Jun20,127,411727
Jun21,128,426910
Jun22,129,440450
Jun23,130,456115
Jun24,131,472985
Jun25,132,491170
Jun26,133,509446
Jun27,134,529577
Jun28,135,549197
Jun29,136,567536
Jun30,137,585792
Jul01,138,605220
Jul02,139,627168
Jul03,140,649889
Jul04,141,673904
