day,dayNo,case
Mar12,1,1
Mar13,2,2
Mar14,3,2
Mar15,4,2
Mar16,5,2
Mar17,6,3
Mar18,7,3
Mar19,8,4
Mar20,9,5
Mar21,10,5
Mar22,11,7
Mar23,12,10
Mar24,13,10
Mar25,14,12
Mar26,15,20
Mar27,16,20
Mar28,17,24
Mar29,18,27
Mar30,19,32
Mar31,20,35
Apr01,21,58
Apr02,22,72
Apr03,23,86
Apr04,24,99
Apr05,25,118
Apr06,26,136
Apr07,27,160
Apr08,28,178
Apr09,29,227
Apr10,30,249
Apr11,31,288
Apr12,32,331
Apr13,33,358
Apr14,34,393
Apr15,35,422
Apr16,36,448
Apr17,37,486
Apr18,38,521
Apr19,39,559
Apr20,40,592
Apr21,41,645
Apr22,42,681
Apr23,43,721
Apr24,44,780
Apr25,45,825
Apr26,46,881
Apr27,47,939
Apr28,48,1008
Apr29,49,1079
Apr30,50,1154
May01,51,1223
