day,dayNo,case
Mar02,1,2
Mar03,2,2
Mar04,3,2
Mar05,4,2
Mar06,5,4
Mar07,6,4
Mar08,7,6
Mar09,8,19
Mar10,9,27
Mar11,10,34
Mar12,11,34
Mar13,12,69
Mar14,13,96
Mar15,14,117
Mar16,15,134
Mar17,16,172
Mar18,17,227
Mar19,18,309
Mar20,19,369
Mar21,20,450
Mar22,21,514
Mar23,22,579
Mar24,23,686
Mar25,24,790
Mar26,25,893
Mar27,26,1046
Mar28,27,1155
Mar29,28,1285
Mar30,29,1414
Mar31,30,1528
Apr01,31,1677
Apr02,32,1790
Apr03,33,1986
Apr04,34,2092
Apr05,35,2273
Apr06,36,2491
Apr07,37,2738
Apr08,38,2956
Apr09,39,3293
Apr10,40,3512
Apr11,41,3842
Apr12,42,4241
Apr13,43,4557
Apr14,44,4839
Apr15,45,5136
Apr16,46,5516
Apr17,47,5923
Apr18,48,6248
Apr19,49,6575
Apr20,50,6760
Apr21,51,7135
Apr22,52,7418
Apr23,53,7775
Apr24,54,8211
Apr25,55,8607
Apr26,56,8882
Apr27,57,9096
Apr28,58,9511
Apr29,59,9771
Apr30,60,10118
May01,61,10551
