day,dayNo,case
Mar11,1,1
Mar12,2,1
Mar13,3,4
Mar14,4,5
Mar15,5,5
Mar16,6,5
Mar17,7,7
Mar18,8,19
Mar19,9,25
Mar20,10,32
Mar21,11,38
Mar22,12,48
Mar23,13,49
Mar24,14,55
Mar25,15,58
Mar26,16,78
Mar27,17,87
Mar28,18,102
Mar29,19,114
Mar30,20,122
Mar31,21,136
Apr01,22,157
Apr02,23,170
Apr03,24,181
Apr04,25,191
Apr05,26,198
Apr06,27,209
Apr07,28,221
Apr08,29,240
Apr09,30,280
Apr10,31,306
Apr11,32,327
Apr12,33,373
Apr13,34,399
Apr14,35,459
Apr15,36,469
Apr16,37,496
Apr17,38,520
Apr18,39,535
Apr19,40,582
Apr20,41,590
Apr21,42,616
Apr22,43,635
Apr23,44,647
Apr24,45,689
Apr25,46,720
Apr26,47,743
Apr27,48,765
Apr28,49,773
Apr29,50,784
Apr30,51,792
May01,52,800
