day,dayNo,case
Feb19,1,2
Feb20,2,5
Feb21,3,18
Feb22,4,29
Feb23,5,43
Feb24,6,61
Feb25,7,95
Feb26,8,139
Feb27,9,245
Feb28,10,388
Feb29,11,593
Mar01,12,978
Mar02,13,1501
Mar03,14,2336
Mar04,15,2922
Mar05,16,3513
Mar06,17,4747
Mar07,18,5823
Mar08,19,6566
Mar09,20,7161
Mar10,21,8042
Mar11,22,9000
Mar12,23,10075
Mar13,24,11364
Mar14,25,12729
Mar15,26,13938
Mar16,27,14991
Mar17,28,16169
Mar18,29,17361
Mar19,30,18407
Mar20,31,19644
Mar21,32,20610
Mar22,33,21638
Mar23,34,23049
Mar24,35,24811
Mar25,36,27017
Mar26,37,29406
Mar27,38,32332
Mar28,39,35408
Mar29,40,38309
Mar30,41,41495
Mar31,42,44605
Apr01,43,47593
Apr02,44,50468
Apr03,45,53183
Apr04,46,55743
Apr05,47,58226
Apr06,48,60500
Apr07,49,62589
Apr08,50,64586
Apr09,51,66220
Apr10,52,68192
Apr11,53,70029
Apr12,54,71686
Apr13,55,73303
Apr14,56,74877
Apr15,57,76389
Apr16,58,77995
Apr17,59,79494
Apr18,60,80868
Apr19,61,82211
Apr20,62,83505
Apr21,63,84802
Apr22,64,85996
Apr23,65,87026
Apr24,66,88194
Apr25,67,89328
Apr26,68,90481
Apr27,69,91472
Apr28,70,92584
Apr29,71,93657
Apr30,72,94640
May01,73,95646
May02,74,96448
May03,75,97424
May04,76,98647
May05,77,99970
May06,78,101650
May07,79,103135
May08,80,104691
May09,81,106220
May10,82,107603
May11,83,109286
May12,84,110767
May13,85,112725
May14,86,114533
May15,87,116635
May16,88,118392
May17,89,120198
May18,90,122492
May19,91,124603
May20,92,126949
May21,93,129341
May22,94,131652
May23,95,133521
May24,96,135701
May25,97,137724
May26,98,139511
May27,99,141591
May28,100,143849
May29,101,146668
May30,102,148950
May31,103,151466
Jun01,104,154445
Jun02,105,157562
Jun03,106,160696
Jun04,107,164270
Jun05,108,167156
Jun06,109,169425
Jun07,110,171789
Jun08,111,173832
Jun09,112,175927
Jun10,113,177938
Jun11,114,180156
Jun12,115,182545
Jun13,116,184955
Jun14,117,187427
Jun15,118,189876
Jun16,119,192439
Jun17,120,195051
Jun18,121,197647
Jun19,122,200262
Jun20,123,202584
Jun21,124,204952
Jun22,125,207525
Jun23,126,209970
Jun24,127,212501
Jun25,128,215096
Jun26,129,217724
Jun27,130,220180
Jun28,131,222669
Jun29,132,225205
Jun30,133,227662
Jul01,134,230211
Jul02,135,232863
Jul03,136,235429
Jul04,137,237878
