day,dayNo,case
Feb19,1,2
Feb20,2,2
Feb21,3,4
Feb22,4,6
Feb23,5,8
Feb24,6,12
Feb25,7,16
Feb26,8,19
Feb27,9,26
Feb28,10,34
Feb29,11,43
Mar01,12,54
Mar02,13,66
Mar03,14,77
Mar04,15,92
Mar05,16,108
Mar06,17,124
Mar07,18,145
Mar08,19,194
Mar09,20,237
Mar10,21,291
Mar11,22,354
Mar12,23,429
Mar13,24,514
Mar14,25,611
Mar15,26,724
Mar16,27,853
Mar17,28,988
Mar18,29,1135
Mar19,30,1284
Mar20,31,1433
Mar21,32,1556
Mar22,33,1685
Mar23,34,1812
Mar24,35,1934
Mar25,36,2077
Mar26,37,2234
Mar27,38,2378
Mar28,39,2517
Mar29,40,2640
Mar30,41,2757
Mar31,42,2898
Apr01,43,3036
Apr02,44,3160
Apr03,45,3294
Apr04,46,3452
Apr05,47,3603
Apr06,48,3739
Apr07,49,3872
Apr08,50,3993
Apr09,51,4110
Apr10,52,4232
Apr11,53,4357
Apr12,54,4474
Apr13,55,4585
Apr14,56,4683
Apr15,57,4777
Apr16,58,4869
Apr17,59,4958
Apr18,60,5031
Apr19,61,5118
Apr20,62,5209
Apr21,63,5297
Apr22,64,5391
Apr23,65,5481
Apr24,66,5574
Apr25,67,5650
Apr26,68,5710
Apr27,69,5806
Apr28,70,5877
Apr29,71,5957
Apr30,72,6028
May01,73,6091
