day,dayNo,case
Feb22,1,1
Feb23,2,1
Feb24,3,1
Feb25,4,5
Feb26,5,5
Feb27,6,7
Feb28,7,8
Feb29,8,13
Mar01,9,19
Mar02,10,27
Mar03,11,32
Mar04,12,37
Mar05,13,40
Mar06,14,46
Mar07,15,54
Mar08,16,65
Mar09,17,71
Mar10,18,71
Mar11,19,71
Mar12,20,83
Mar13,21,101
Mar14,22,110
Mar15,23,124
Mar16,24,133
Mar17,25,154
Mar18,26,164
Mar19,27,192
Mar20,28,208
Mar21,29,214
Mar22,30,233
Mar23,31,266
Mar24,32,316
Mar25,33,346
Mar26,34,382
Mar27,35,458
Mar28,36,506
Mar29,37,547
Mar30,38,630
Mar31,39,694
Apr01,40,728
Apr02,41,772
Apr03,42,820
Apr04,43,878
Apr05,44,961
Apr06,45,1031
Apr07,46,1122
Apr08,47,1202
Apr09,48,1232
Apr10,49,1279
Apr11,50,1318
Apr12,51,1352
Apr13,52,1378
Apr14,53,1400
Apr15,54,1415
Apr16,55,1434
Apr17,56,1482
Apr18,57,1513
Apr19,58,1539
Apr20,59,1574
Apr21,60,1602
Apr22,61,1631
Apr23,62,1677
Apr24,63,1708
Apr25,64,1763
Apr26,65,1820
Apr27,66,1847
Apr28,67,1928
Apr29,68,2003
Apr30,69,2085
May01,70,2153
May02,71,2219
May03,72,2296
May04,73,2346
May05,74,2431
May06,75,2480
May07,76,2543
May08,77,2603
May09,78,2679
May10,79,2767
May11,80,2818
May12,81,2913
May13,82,3032
May14,83,3143
May15,84,3193
May16,85,3260
May17,86,3404
May18,87,3554
May19,88,3611
May20,89,3724
May21,90,3877
May22,91,3964
May23,92,4272
May24,93,4469
May25,94,4632
May26,95,4848
May27,96,5135
May28,97,5457
May29,98,5873
May30,99,6179
May31,100,6439
Jun01,101,6868
Jun02,102,7387
Jun03,103,8168
Jun04,104,8840
Jun05,105,9846
Jun06,106,11098
Jun07,107,12366
Jun08,108,13481
Jun09,109,14268
Jun10,110,15414
Jun11,111,16675
Jun12,112,17770
Jun13,113,18950
Jun14,114,20209
Jun15,115,21315
Jun16,116,22700
Jun17,117,24254
Jun18,118,25717
Jun19,119,27352
Jun20,120,29222
Jun21,121,30868
Jun22,122,32676
Jun23,123,34502
Jun24,124,36702
Jun25,125,39139
Jun26,126,41193
Jun27,127,43262
Jun28,128,45402
Jun29,129,47151
Jun30,130,49109
Jul01,131,51524
Jul02,132,53708
Jul03,133,56020
Jul04,134,58354
