day,dayNo,case
Mar04,1,2
Mar05,2,3
Mar06,3,4
Mar07,4,4
Mar08,5,6
Mar09,6,7
Mar10,7,7
Mar11,8,7
Mar12,9,8
Mar13,10,9
Mar14,11,10
Mar15,12,10
Mar16,13,10
Mar17,14,11
Mar18,15,12
Mar19,16,13
Mar20,17,17
Mar21,18,17
Mar22,19,20
Mar23,20,23
Mar24,21,27
Mar25,22,29
Mar26,23,36
Mar27,24,40
Mar28,25,42
Mar29,26,42
Mar30,27,46
Mar31,28,50
Apr01,29,52
Apr02,30,54
Apr03,31,54
Apr04,32,56
Apr05,33,61
Apr06,34,64
Apr07,35,65
Apr08,36,69
Apr09,37,69
Apr10,38,70
Apr11,39,72
Apr12,40,76
Apr13,41,78
Apr14,42,78
Apr15,43,79
Apr16,44,80
Apr17,45,81
Apr18,46,82
Apr19,47,82
Apr20,48,82
Apr21,49,83
Apr22,50,83
Apr23,51,83
Apr24,52,86
Apr25,53,86
Apr26,54,87
Apr27,55,88
Apr28,56,90
Apr29,57,92
Apr30,58,93
May01,59,94
