day,dayNo,case
Feb29,1,1
Mar01,2,1
Mar02,3,1
Mar03,4,2
Mar04,5,6
Mar05,6,13
Mar06,7,18
Mar07,8,19
Mar08,9,21
Mar09,10,24
Mar10,11,34
Mar11,12,43
Mar12,13,70
Mar13,14,90
Mar14,15,129
Mar15,16,170
Mar16,17,223
Mar17,18,292
Mar18,19,366
Mar19,20,557
Mar20,21,683
Mar21,22,785
Mar22,23,906
Mar23,24,1125
Mar24,25,1329
Mar25,26,1564
Mar26,27,1819
Mar27,28,2121
Mar28,29,2415
Mar29,30,2615
Mar30,31,2910
Mar31,32,3235
Apr01,33,3447
Apr02,34,3849
Apr03,35,4273
Apr04,36,4604
Apr05,37,4994
Apr06,38,5364
Apr07,39,5709
Apr08,40,6074
Apr09,41,6574
Apr10,42,8089
Apr11,43,8928
Apr12,44,9655
Apr13,45,10647
Apr14,46,11479
Apr15,47,12547
Apr16,48,13271
Apr17,49,13980
Apr18,50,14758
Apr19,51,15251
Apr20,52,15652
Apr21,53,16040
Apr22,54,16671
Apr23,55,17607
Apr24,56,18184
Apr25,57,18561
Apr26,58,19262
Apr27,59,19648
Apr28,60,19877
Apr29,61,20253
Apr30,62,20612
May01,63,20833
