day,dayNo,case
Mar11,1,1
Mar12,2,1
Mar13,3,1
Mar14,4,2
Mar15,5,2
Mar16,6,2
Mar17,7,2
Mar18,8,2
Mar19,9,3
Mar20,10,3
Mar21,11,3
Mar22,12,4
Mar23,13,6
Mar24,14,7
Mar25,15,9
Mar26,16,19
Mar27,17,22
Mar28,18,36
Mar29,19,46
Mar30,20,54
Mar31,21,71
Apr01,22,85
Apr02,23,98
Apr03,24,120
Apr04,25,137
Apr05,26,158
Apr06,27,174
Apr07,28,210
Apr08,29,235
Apr09,30,263
Apr10,31,287
Apr11,32,320
Apr12,33,334
Apr13,34,365
Apr14,35,406
Apr15,36,444
Apr16,37,486
Apr17,38,530
Apr18,39,571
Apr19,40,610
Apr20,41,687
Apr21,42,730
Apr22,43,769
Apr23,44,794
Apr24,45,1014
Apr25,46,1063
Apr26,47,1087
Apr27,48,1102
Apr28,49,1159
Apr29,50,1190
Apr30,51,1232
May01,52,1265
