day,dayNo,case
Feb21,1,1
Feb22,2,1
Feb23,3,2
Feb24,4,2
Feb25,5,2
Feb26,6,2
Feb27,7,3
Feb28,8,7
Feb29,9,7
Mar01,10,10
Mar02,11,12
Mar03,12,12
Mar04,13,15
Mar05,14,17
Mar06,15,21
Mar07,16,25
Mar08,17,39
Mar09,18,50
Mar10,19,75
Mar11,20,97
Mar12,21,109
Mar13,22,143
Mar14,23,193
Mar15,24,213
Mar16,25,298
Mar17,26,337
Mar18,27,433
Mar19,28,677
Mar20,29,705
Mar21,30,883
Mar22,31,1071
Mar23,32,1442
Mar24,33,1930
Mar25,34,2369
Mar26,35,2693
Mar27,36,3035
Mar28,37,3619
Mar29,38,4247
Mar30,39,4695
Mar31,40,5358
Apr01,41,6092
Apr02,42,6857
Apr03,43,7428
Apr04,44,7851
Apr05,45,8430
Apr06,46,8904
Apr07,47,9248
Apr08,48,9404
Apr09,49,9968
Apr10,50,10408
Apr11,51,10743
Apr12,52,11145
Apr13,53,11586
Apr14,54,12046
Apr15,55,12501
Apr16,56,12758
Apr17,57,12982
Apr18,58,13265
Apr19,59,13491
Apr20,60,13713
Apr21,61,13942
Apr22,62,14498
