day,dayNo,case
Mar20,1,1
Mar21,2,1
Mar22,3,1
Mar23,4,1
Mar24,5,3
Mar25,6,5
Mar26,7,8
Mar27,8,12
Mar28,9,12
Mar29,10,15
Mar30,11,16
Mar31,12,20
Apr01,13,26
Apr02,14,36
Apr03,15,40
Apr04,16,44
Apr05,17,49
Apr06,18,57
Apr07,19,65
Apr08,20,73
Apr09,21,86
Apr10,22,95
Apr11,23,101
Apr12,24,103
Apr13,25,116
Apr14,26,123
Apr15,27,130
Apr16,28,142
Apr17,29,151
Apr18,30,164
Apr19,31,172
Apr20,32,177
Apr21,33,184
Apr22,34,189
Apr23,35,192
Apr24,36,194
Apr25,37,199
Apr26,38,201
Apr27,39,204
Apr28,40,210
Apr29,41,215
Apr30,42,222
May01,43,225
May02,44,229
May03,45,232
May04,46,235
May05,47,238
May06,48,239
May07,49,240
May08,50,245
May09,51,247
May10,52,252
May11,53,258
May12,54,260
May13,55,264
May14,56,265
May15,57,266
May16,58,268
May17,59,272
May18,60,276
May19,61,278
May20,62,279
May21,63,279
May22,64,279
May23,65,279
May24,66,279
May25,67,281
May26,68,281
May27,69,281
May28,70,284
May29,71,284
May30,72,284
May31,73,285
Jun01,74,285
Jun02,75,290
Jun03,76,291
Jun04,77,291
Jun05,78,291
Jun06,79,295
Jun07,80,298
Jun08,81,298
Jun09,82,299
Jun10,83,299
Jun11,84,300
Jun12,85,300
Jun13,86,300
Jun14,87,300
Jun15,88,302
Jun16,89,302
Jun17,90,303
Jun18,91,303
Jun19,92,304
Jun20,93,305
Jun21,94,306
Jun22,95,307
Jun23,96,308
Jun24,97,308
Jun25,98,309
Jun26,99,314
Jun27,100,317
Jun28,101,318
Jun29,102,319
Jun30,103,320
Jul01,104,322
Jul02,105,324
Jul03,106,326
Jul04,107,330
