day,dayNo,case
Feb15,1,3
Feb16,2,3
Feb17,3,3
Feb18,4,3
Feb19,5,3
Feb20,6,4
Feb21,7,21
Feb22,8,79
Feb23,9,157
Feb24,10,229
Feb25,11,323
Feb26,12,470
Feb27,13,655
Feb28,14,889
Feb29,15,1128
Mar01,16,1702
Mar02,17,2038
Mar03,18,2504
Mar04,19,3092
Mar05,20,3861
Mar06,21,4639
Mar07,22,5886
Mar08,23,7380
Mar09,24,9179
Mar10,25,10156
Mar11,26,12469
Mar12,27,15122
Mar13,28,17670
Mar14,29,21169
Mar15,30,24762
Mar16,31,27997
Mar17,32,31524
Mar18,33,35731
Mar19,34,41054
Mar20,35,47041
Mar21,36,53594
Mar22,37,59153
Mar23,38,63935
Mar24,39,69174
Mar25,40,74371
Mar26,41,80572
Mar27,42,86478
Mar28,43,92450
Mar29,44,97664
Mar30,45,101710
Mar31,46,105762
Apr01,47,110544
Apr02,48,115212
Apr03,49,119796
Apr04,50,124602
Apr05,51,128919
Apr06,52,132518
Apr07,53,135555
Apr08,54,139389
Apr09,55,143592
Apr10,56,147542
Apr11,57,152238
Apr12,58,156332
Apr13,59,159485
Apr14,60,162458
Apr15,61,165124
Apr16,62,168911
Apr17,63,172405
Apr18,64,175897
Apr19,65,178944
Apr20,66,181195
Apr21,67,183922
Apr22,68,187292
Apr23,69,189936
Apr24,70,192958
Apr25,71,195315
Apr26,72,197640
Apr27,73,199378
Apr28,74,201470
Apr29,75,203556
Apr30,76,205428
May01,77,207394
May02,78,209294
May03,79,210683
May04,80,211905
May05,81,212980
May06,82,214425
May07,83,215827
May08,84,217155
May09,85,218238
May10,86,219040
May11,87,219785
May12,88,221188
May13,89,222076
May14,90,223069
May15,91,223858
May16,92,224733
May17,93,225408
May18,94,225859
May19,95,226672
May20,96,227337
May21,97,227980
May22,98,228633
May23,99,229303
May24,100,229835
May25,101,230135
May26,102,230532
May27,103,231117
May28,104,231711
May29,105,232228
May30,106,232645
May31,107,232979
Jun01,108,233179
Jun02,109,233498
Jun03,110,233820
Jun04,111,233997
Jun05,112,234516
Jun06,113,234786
Jun07,114,234983
Jun08,115,235263
Jun09,116,235546
Jun10,117,235748
Jun11,118,236128
Jun12,119,236291
Jun13,120,236638
Jun14,121,236975
Jun15,122,237276
Jun16,123,237486
Jun17,124,237815
Jun18,125,238147
Jun19,126,238398
Jun20,127,238662
Jun21,128,238886
Jun22,129,239107
Jun23,130,239220
Jun24,131,239410
Jun25,132,239706
Jun26,133,239961
Jun27,134,240136
Jun28,135,240310
Jun29,136,240436
Jun30,137,240578
Jul01,138,240760
Jul02,139,240961
Jul03,140,241184
Jul04,141,241419
