day,dayNo,case
Feb21,1,1
Feb22,2,2
Feb23,3,3
Feb24,4,7
Feb25,5,11
Feb26,6,12
Feb27,7,17
Feb28,8,21
Feb29,9,29
Mar01,10,41
Mar02,11,52
Mar03,12,79
Mar04,13,107
Mar05,14,148
Mar06,15,197
Mar07,16,233
Mar08,17,366
Mar09,18,463
Mar10,19,631
Mar11,20,827
Mar12,21,1016
Mar13,22,1266
Mar14,23,1441
Mar15,24,1808
Mar16,25,2156
Mar17,26,2500
Mar18,27,2974
Mar19,28,3400
Mar20,29,4026
Mar21,30,4818
Mar22,31,5468
Mar23,32,6068
Mar24,33,6810
Mar25,34,7492
Mar26,35,8203
Mar27,36,9120
Mar28,37,10007
Mar29,38,10762
Mar30,39,11573
Mar31,40,12409
Apr01,41,13135
Apr02,42,13894
Apr03,43,14659
Apr04,44,15339
Apr05,45,15863
Apr06,46,16498
Apr07,47,17101
Apr08,48,17642
Apr09,49,18251
Apr10,50,18820
Apr11,51,19438
Apr12,52,19868
Apr13,53,20433
Apr14,54,21034
Apr15,55,21611
Apr16,56,22135
Apr17,57,22698
Apr18,58,23179
Apr19,59,23611
Apr20,60,24064
Apr21,61,24597
Apr22,62,25033
Apr23,63,25496
Apr24,64,25915
Apr25,65,26329
Apr26,66,26589
Apr27,67,26921
Apr28,68,27302
Apr29,69,27624
Apr30,70,27908
May01,71,28177
May02,72,28650
May03,73,28824
May04,74,29019
May05,75,29255
May06,76,29623
May07,77,29897
May08,78,30140
May09,79,30334
May10,80,30499
May11,81,30678
May12,82,30850
May13,83,31045
May14,84,31307
May15,85,31549
May16,86,31702
May17,87,31847
May18,88,31946
May19,89,32108
May20,90,32269
May21,91,32425
May22,92,32555
May23,93,32674
May24,94,32724
May25,95,32816
May26,96,32894
May27,97,33011
May28,98,33081
May29,99,33168
May30,100,33279
May31,101,33354
Jun01,102,33414
Jun02,103,33469
Jun03,104,33540
Jun04,105,33628
Jun05,106,33713
Jun06,107,33785
Jun07,108,33838
Jun08,109,33903
Jun09,110,33982
Jun10,111,34053
Jun11,112,34106
Jun12,113,34162
Jun13,114,34240
Jun14,115,34284
Jun15,116,34310
Jun16,117,34344
Jun17,118,34387
Jun18,119,34453
Jun19,120,34500
Jun20,121,34549
Jun21,122,34573
Jun22,123,34596
Jun23,124,34614
Jun24,125,34644
Jun25,126,34678
Jun26,127,34708
Jun27,128,34716
Jun28,129,34738
Jun29,130,34744
Jun30,131,34767
Jul01,132,34788
Jul02,133,34818
Jul03,134,34833
Jul04,135,34854
