day,dayNo,case
Mar11,1,1
Mar12,2,1
Mar13,3,1
Mar14,4,2
Mar15,5,4
Mar16,6,4
Mar17,7,4
Mar18,8,9
Mar19,9,9
Mar20,10,9
Mar21,11,14
Mar22,12,14
Mar23,13,25
Mar24,14,73
Mar25,15,80
Mar26,16,96
Mar27,17,101
Mar28,18,101
Mar29,19,165
Mar30,20,168
Mar31,21,179
Apr01,22,190
Apr02,23,194
Apr03,24,218
Apr04,25,245
Apr05,26,261
Apr06,27,323
Apr07,28,349
Apr08,29,384
Apr09,30,444
Apr10,31,480
Apr11,32,533
Apr12,33,574
Apr13,34,626
Apr14,35,638
Apr15,36,654
Apr16,37,654
Apr17,38,688
Apr18,39,801
Apr19,40,847
Apr20,41,879
Apr21,42,916
Apr22,43,952
Apr23,44,1004
Apr24,45,1077
Apr25,46,1077
Apr26,47,1150
Apr27,48,1164
Apr28,49,1183
Apr29,50,1238
Apr30,51,1275
May01,52,1333
