day,dayNo,case
Mar29,1,1
Mar30,2,1
Mar31,3,1
Apr01,4,1
Apr02,5,1
Apr03,6,1
Apr04,7,1
Apr05,8,3
Apr06,9,3
Apr07,10,3
Apr08,11,3
Apr09,12,3
Apr10,13,3
Apr11,14,4
Apr12,15,5
Apr13,16,6
Apr14,17,6
Apr15,18,6
Apr16,19,6
Apr17,20,6
Apr18,21,8
Apr19,22,9
Apr20,23,10
Apr21,24,13
Apr22,25,14
Apr23,26,14
Apr24,27,14
Apr25,28,14
Apr26,29,14
Apr27,30,14
Apr28,31,14
Apr29,32,14
Apr30,33,14
May01,34,15
May02,35,15
May03,36,17
May04,37,17
May05,38,18
May06,39,18
May07,40,20
May08,41,20
May09,42,21
May10,43,21
May11,44,21
May12,45,21
May13,46,24
May14,47,24
May15,48,24
May16,49,25
May17,50,27
May18,51,28
May19,52,28
May20,53,29
May21,54,29
May22,55,29
May23,56,30
May24,57,30
May25,58,30
May26,59,30
May27,60,31
May28,61,32
May29,62,32
May30,63,33
May31,64,33
Jun01,65,33
Jun02,66,33
Jun03,67,35
Jun04,68,35
Jun05,69,36
Jun06,70,36
Jun07,71,36
Jun08,72,38
Jun09,73,38
Jun10,74,41
Jun11,75,41
Jun12,76,45
Jun13,77,45
Jun14,78,45
Jun15,79,46
Jun16,80,46
Jun17,81,48
Jun18,82,49
Jun19,83,49
Jun20,84,52
Jun21,85,54
Jun22,86,56
Jun23,87,58
Jun24,88,58
Jun25,89,60
Jun26,90,64
Jun27,91,66
Jun28,92,66
Jun29,93,66
Jun30,94,68
Jul01,95,68
Jul02,96,68
Jul03,97,70
Jul04,98,72
