day,dayNo,case
Feb15,1,53
Feb16,2,59
Feb17,3,66
Feb18,4,74
Feb19,5,84
Feb20,6,94
Feb21,7,109
Feb22,8,134
Feb23,9,146
Feb24,10,159
Feb25,11,161
Feb26,12,172
Feb27,13,214
Feb28,14,233
Feb29,15,241
Mar01,16,256
Mar02,17,274
Mar03,18,293
Mar04,19,331
Mar05,20,364
Mar06,21,420
Mar07,22,461
Mar08,23,502
Mar09,24,530
Mar10,25,587
Mar11,26,639
Mar12,27,691
Mar13,28,734
Mar14,29,804
Mar15,30,833
Mar16,31,850
Mar17,32,878
Mar18,33,914
Mar19,34,943
Mar20,35,1007
Mar21,36,1054
Mar22,37,1101
Mar23,38,1128
Mar24,39,1193
Mar25,40,1307
Mar26,41,1387
Mar27,42,1499
Mar28,43,1693
Mar29,44,1866
Mar30,45,1953
Mar31,46,2178
Apr01,47,2384
Apr02,48,2617
Apr03,49,2935
Apr04,50,3139
Apr05,51,3654
Apr06,52,3906
Apr07,53,4257
Apr08,54,4667
Apr09,55,5347
Apr10,56,6005
Apr11,57,6748
Apr12,58,7370
Apr13,59,7618
Apr14,60,7885
Apr15,61,8626
Apr16,62,9231
Apr17,63,9787
Apr18,64,10296
Apr19,65,10797
Apr20,66,11135
Apr21,67,11512
Apr22,68,11950
Apr23,69,12368
Apr24,70,12712
Apr25,71,13231
Apr26,72,13449
Apr27,73,13614
Apr28,74,13736
Apr29,75,13895
Apr30,76,14088
May01,77,14305
May02,78,14571
May03,79,14877
May04,80,15078
May05,81,15253
May06,82,15253
May07,83,15477
May08,84,15575
May09,85,15663
May10,86,15777
May11,87,15847
May12,88,15968
May13,89,16049
May14,90,16120
May15,91,16203
May16,92,16237
May17,93,16285
May18,94,16305
May19,95,16367
May20,96,16385
May21,97,16424
May22,98,16513
May23,99,16536
May24,100,16550
May25,101,16581
May26,102,16623
May27,103,16651
May28,104,16683
May29,105,16719
May30,106,16804
May31,107,16851
Jun01,108,16884
Jun02,109,16930
Jun03,110,16986
Jun04,111,17018
Jun05,112,17064
Jun06,113,17103
Jun07,114,17141
Jun08,115,17174
Jun09,116,17210
Jun10,117,17251
Jun11,118,17292
Jun12,119,17332
Jun13,120,17382
Jun14,121,17429
Jun15,122,17502
Jun16,123,17587
Jun17,124,17628
Jun18,125,17668
Jun19,126,17740
Jun20,127,17799
Jun21,128,17864
Jun22,129,17916
Jun23,130,17968
Jun24,131,18024
Jun25,132,18110
Jun26,133,18197
Jun27,134,18297
Jun28,135,18390
Jun29,136,18476
Jun30,137,18593
Jul01,138,18723
Jul02,139,18874
Jul03,140,19068
Jul04,141,19282
