day,dayNo,case
Feb15,1,1
Feb16,2,1
Feb17,3,1
Feb18,4,1
Feb19,5,1
Feb20,6,1
Feb21,7,1
Feb22,8,1
Feb23,9,1
Feb24,10,1
Feb25,11,1
Feb26,12,3
Feb27,13,4
Feb28,14,5
Feb29,15,5
Mar01,16,6
Mar02,17,6
Mar03,18,6
Mar04,19,6
Mar05,20,6
Mar06,21,6
Mar07,22,6
Mar08,23,7
Mar09,24,9
Mar10,25,12
Mar11,26,15
Mar12,27,19
Mar13,28,21
Mar14,29,22
Mar15,30,24
Mar16,31,28
Mar17,32,29
Mar18,33,29
Mar19,34,33
Mar20,35,35
Mar21,36,36
Mar22,37,41
Mar23,38,42
Mar24,39,43
Mar25,40,45
Mar26,41,47
Mar27,42,49
Mar28,43,52
Mar29,44,54
Mar30,45,56
Mar31,46,57
Apr01,47,57
Apr02,48,63
Apr03,49,69
Apr04,50,77
Apr05,51,85
Apr06,52,92
Apr07,53,93
Apr08,54,94
Apr09,55,99
Apr10,56,99
Apr11,57,108
Apr12,58,123
Apr13,59,143
Apr14,60,146
Apr15,61,178
Apr16,62,190
Apr17,63,190
Apr18,64,222
Apr19,65,236
Apr20,66,263
Apr21,67,281
Apr22,68,299
Apr23,69,328
Apr24,70,345
Apr25,71,360
Apr26,72,372
Apr27,73,385
Apr28,74,394
Apr29,75,413
Apr30,76,430
May01,77,455
May02,78,474
May03,79,487
May04,80,536
May05,81,556
May06,82,556
May07,83,577
May08,84,590
May09,85,607
May10,86,624
May11,87,633
May12,88,657
May13,89,678
May14,90,697
May15,91,713
May16,92,725
May17,93,744
May18,94,749
May19,95,768
May20,96,771
May21,97,777
May22,98,796
May23,99,808
May24,100,820
May25,101,830
May26,102,846
May27,103,858
May28,104,867
May29,105,874
May30,106,886
May31,107,891
Jun01,108,892
Jun02,109,894
Jun03,110,900
Jun04,111,903
Jun05,112,907
Jun06,113,914
Jun07,114,916
Jun08,115,916
Jun09,116,916
Jun10,117,919
Jun11,118,920
Jun12,119,922
Jun13,120,924
Jun14,121,925
Jun15,122,925
Jun16,123,927
Jun17,124,931
Jun18,125,935
Jun19,126,935
Jun20,127,952
Jun21,128,953
Jun22,129,953
Jun23,130,955
Jun24,131,963
Jun25,132,968
Jun26,133,969
Jun27,134,971
Jun28,135,971
Jun29,136,972
Jun30,137,972
Jul01,138,974
Jul02,139,975
Jul03,140,976
Jul04,141,977
