day,dayNo,case
Mar02,1,1
Mar03,2,1
Mar04,3,1
Mar05,4,1
Mar06,5,1
Mar07,6,1
Mar08,7,1
Mar09,8,1
Mar10,9,1
Mar11,10,1
Mar12,11,1
Mar13,12,1
Mar14,13,1
Mar15,14,12
Mar16,15,29
Mar17,16,48
Mar18,17,56
Mar19,18,69
Mar20,19,84
Mar21,20,100
Mar22,21,112
Mar23,22,127
Mar24,23,154
Mar25,24,172
Mar26,25,212
Mar27,26,235
Mar28,27,246
Mar29,28,259
Mar30,29,268
Mar31,30,274
Apr01,31,278
Apr02,32,299
Apr03,33,310
Apr04,34,323
Apr05,35,345
Apr06,36,349
Apr07,37,353
Apr08,38,358
Apr09,39,372
Apr10,40,372
Apr11,41,381
Apr12,42,389
Apr13,43,391
Apr14,44,397
Apr15,45,401
Apr16,46,402
Apr17,47,407
Apr18,48,413
Apr19,49,417
Apr20,50,425
Apr21,51,428
Apr22,52,435
Apr23,53,437
Apr24,54,441
Apr25,55,444
Apr26,56,447
Apr27,57,449
Apr28,58,449
Apr29,59,451
Apr30,60,453
May01,61,459
May02,62,460
May03,63,461
May04,64,465
May05,65,471
May06,66,473
May07,67,494
May08,68,508
May09,69,522
May10,70,540
May11,71,562
May12,72,576
May13,73,582
May14,74,586
May15,75,596
May16,76,607
May17,77,613
May18,78,629
May19,79,649
May20,80,672
May21,81,684
May22,82,700
May23,83,704
May24,84,708
May25,85,711
May26,86,718
May27,87,720
May28,88,728
May29,89,730
May30,90,734
May31,91,739
Jun01,92,746
Jun02,93,755
Jun03,94,757
Jun04,95,765
Jun05,96,784
Jun06,97,795
Jun07,98,808
Jun08,99,831
Jun09,100,845
Jun10,101,863
Jun11,102,890
Jun12,103,915
Jun13,104,953
Jun14,105,961
Jun15,106,979
Jun16,107,981
Jun17,108,987
Jun18,109,1001
Jun19,110,1008
Jun20,111,1015
Jun21,112,1033
Jun22,113,1042
Jun23,114,1047
Jun24,115,1071
Jun25,116,1086
Jun26,117,1104
Jun27,118,1111
Jun28,119,1121
Jun29,120,1128
Jun30,121,1132
Jul01,122,1133
Jul02,123,1136
Jul03,124,1147
Jul04,125,1150
